,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,0.9166666666666666,0.875,0.565410191017009,0.5209176788124157,0.355977355977356,0.1964285714285714,beta,53
1,1,Logistic Regression,0.8041666666666667,0.8125,0.49189680007062964,0.5297297297297298,0.6806335639668972,0.462962962962963,beta,53
2,2,Logistic Regression,0.7708333333333333,0.75,0.5993398616688408,0.5748987854251012,0.4479624542124542,0.3035714285714286,beta,53
3,3,Logistic Regression,0.8041666666666667,0.8125,0.5318793999880496,0.5080971659919028,0.6743558029272314,0.6428571428571428,beta,53
4,4,Logistic Regression,0.6226190476190476,0.55,0.5503007327317152,0.5076177285318559,0.526984126984127,0.5178571428571429,beta,53
5,5,Logistic Regression,0.7095238095238094,0.625,0.5995453330213135,0.5144628099173554,0.13333333333333333,0.2692307692307692,beta,53
6,6,Logistic Regression,0.5628571428571428,0.5,0.5396977581938373,0.4948024948024948,0.6791056166056165,0.7222222222222222,beta,53
7,7,Logistic Regression,0.8041666666666667,0.8125,0.4923774155712103,0.4993224932249323,0.9086247086247087,0.76,beta,53
8,8,Logistic Regression,0.5,0.6,0.5157825799836334,0.5013550135501355,0.7552038870220688,0.36363636363636365,beta,53
9,9,Logistic Regression,0.8875,0.9,0.5628269586148911,0.5204435204435204,0.6418058132343847,0.5357142857142857,beta,53
10,10,Logistic Regression,0.7291666666666666,0.625,0.5780113073120325,0.5054054054054054,0.743003293003293,0.5185185185185185,beta,53
11,11,Logistic Regression,0.95,0.9375,0.5737702082550751,0.543918918918919,0.5563492063492064,0.6666666666666667,beta,53
12,12,Logistic Regression,0.8928571428571428,0.8125,0.5871381034456358,0.5107962213225371,0.8015151515151515,0.6428571428571428,beta,53
13,13,Logistic Regression,0.6791666666666667,0.8,0.5424379978155556,0.5569444444444445,0.7399891774891774,0.56,beta,53
14,14,Logistic Regression,0.49652777777777773,0.4,0.5334124303419819,0.4951388888888889,0.7745887445887445,0.54,beta,53
15,15,Logistic Regression,0.95,0.9375,0.54697122191962,0.5513513513513513,0.6725515225515226,0.4629629629629629,beta,53
16,16,Logistic Regression,0.6277777777777778,0.55,0.5332763781169393,0.5069252077562327,0.6297928262213977,0.6071428571428571,beta,53
17,17,Logistic Regression,0.8041666666666667,0.8125,0.5560921714478683,0.5519568151147098,0.4475579975579975,0.44642857142857145,beta,53
18,18,Logistic Regression,0.9166666666666666,0.875,0.5457592923392977,0.534412955465587,0.6350160256410257,0.5892857142857143,beta,53
19,19,Logistic Regression,0.7708333333333333,0.8,0.5436688896480049,0.5038115038115039,0.6280423280423281,0.48148148148148145,beta,53
20,20,Logistic Regression,0.95,0.9375,0.557154856456884,0.5546558704453441,0.5838609307359307,0.5535714285714286,beta,53
21,21,Logistic Regression,1.0,1.0,0.5549120495729245,0.5702702702702703,0.7709716209716211,0.5925925925925926,beta,53
22,22,Logistic Regression,0.95,0.9375,0.5010650475609465,0.4966261808367072,0.656918081918082,0.5,beta,53
23,23,Logistic Regression,0.8041666666666667,0.8125,0.6080581765945678,0.5389876880984952,0.626984126984127,0.6666666666666666,beta,53
24,24,Logistic Regression,0.95,0.9375,0.5390062160257387,0.5635135135135134,0.8676638176638178,0.7592592592592593,beta,53
25,25,Logistic Regression,0.8261904761904761,0.75,0.5923521678028782,0.5142857142857143,0.2973484848484848,0.4772727272727273,beta,53
26,26,Logistic Regression,0.5666666666666667,0.5625,0.48343311773356534,0.5067476383265856,0.5218968531468531,0.26785714285714285,beta,53
27,27,Logistic Regression,0.7095238095238094,0.7000000000000001,0.5346978608142819,0.5107415107415108,0.5746031746031746,0.5178571428571429,beta,53
28,28,Logistic Regression,0.9166666666666666,0.875,0.5105041890815096,0.5148448043184886,0.7016826923076922,0.5535714285714286,beta,53
29,29,Logistic Regression,0.8583333333333333,0.75,0.6086813493026438,0.5266805266805267,0.5502645502645502,0.5,beta,53
30,30,Logistic Regression,0.6791666666666667,0.8,0.5545491267212264,0.5058905058905059,0.787962962962963,0.7222222222222223,beta,53
31,31,Logistic Regression,0.8166666666666667,0.75,0.5147696185677966,0.5474254742547425,0.7037004662004661,0.45999999999999996,beta,53
32,32,Logistic Regression,0.8541666666666666,0.85,0.6608133731844708,0.6264726264726265,0.8011303511303511,0.6666666666666666,beta,53
33,33,Logistic Regression,0.6083333333333333,0.625,0.5644841699523184,0.4952766531713901,0.6994897959183672,0.6607142857142857,beta,53
34,34,Logistic Regression,0.81,0.8,0.5682914980656721,0.5706371191135734,0.38136982065553493,0.25,beta,53
35,35,Logistic Regression,1.0,1.0,0.6029740771517224,0.6041666666666666,0.7284415584415583,0.52,beta,53
36,36,Logistic Regression,0.95,0.9375,0.5322939283685503,0.5566801619433198,0.6315663503163503,0.4821428571428572,beta,53
37,37,Logistic Regression,0.8875,0.9,0.5498699088179398,0.49376731301939064,0.5979437229437229,0.5357142857142857,beta,53
38,38,Logistic Regression,0.7928571428571428,0.6875,0.5777803362197552,0.4878048780487805,0.4380952380952381,0.5399999999999999,beta,53
39,39,Logistic Regression,0.8875,0.875,0.6056711023261903,0.6144986449864498,0.5722222222222222,0.74,beta,53
40,40,Logistic Regression,0.5902777777777777,0.6000000000000001,0.5750664585969196,0.5006925207756232,0.6465929903429903,0.5,beta,53
41,41,Logistic Regression,0.7152777777777777,0.6500000000000001,0.5005196663082788,0.5118055555555555,0.6796961371961372,0.45999999999999996,beta,53
42,42,Logistic Regression,1.0,1.0,0.5511782924809179,0.5895470383275262,0.7209401709401708,0.5,beta,53
43,43,Logistic Regression,0.8041666666666667,0.8500000000000001,0.5075968934035149,0.49618849618849625,0.5514830848164183,0.40740740740740744,beta,53
44,44,Logistic Regression,0.6253968253968254,0.4,0.5165261782651586,0.5107415107415108,0.751984126984127,0.6851851851851851,beta,53
45,45,Logistic Regression,1.0,1.0,0.588534267947246,0.5450138504155124,0.5192700156985871,0.5535714285714286,beta,53
46,46,Logistic Regression,0.8611111111111112,0.75,0.49481352050449634,0.49445983379501385,0.48685897435897435,0.1785714285714286,beta,53
47,47,Logistic Regression,0.6083333333333333,0.625,0.5897782873519246,0.5074525745257452,0.3395238095238095,0.4,beta,53
48,48,Logistic Regression,0.8303571428571428,0.75,0.5552933026411462,0.5108108108108108,0.5625941959275294,0.425925925925926,beta,53
49,49,Logistic Regression,0.9666666666666666,0.95,0.6013329157887274,0.554006968641115,0.29986679986679987,0.45454545454545453,beta,53
50,50,Logistic Regression,0.8875,0.9,0.5628702233512708,0.5571725571725572,0.7974698141364809,0.7592592592592593,beta,53
51,51,Logistic Regression,0.925,0.8500000000000001,0.600647269076439,0.5232155232155232,0.6746031746031745,0.7037037037037037,beta,53
52,52,Logistic Regression,0.5845238095238094,0.5625,0.527117469318505,0.5,0.40305759055759055,0.4074074074074074,beta,53
53,53,Logistic Regression,0.8041666666666667,0.8500000000000001,0.5289702882851398,0.5343137254901962,0.8386285011285012,0.5,beta,53
54,54,Logistic Regression,0.7783333333333333,0.65,0.5744649959119057,0.49444444444444446,0.34653679653679653,0.46,beta,53
55,55,Logistic Regression,0.8875,0.9,0.5012804433403493,0.5083102493074793,0.732224025974026,0.6785714285714286,beta,53
56,56,Logistic Regression,0.95,0.9375,0.5692099116846987,0.5533783783783783,0.6414021164021164,0.5,beta,53
57,57,Logistic Regression,0.6277777777777778,0.55,0.5606194299911413,0.5003465003465003,0.5935897435897436,0.6296296296296297,beta,53
58,58,Logistic Regression,0.8125,0.6875,0.5448064994091455,0.5236486486486486,0.33885281385281385,0.3148148148148148,beta,53
59,59,Logistic Regression,0.6178571428571429,0.55,0.5136791497642155,0.48995148995148996,0.5731762065095398,0.4444444444444445,beta,53
60,60,Logistic Regression,0.6458333333333333,0.6875,0.4586050731364687,0.5074525745257452,0.7966971916971917,0.56,beta,53
61,61,Logistic Regression,1.0,1.0,0.6168964088233047,0.5708333333333334,0.5924242424242424,0.6111111111111112,beta,53
62,62,Logistic Regression,0.8253968253968254,0.6499999999999999,0.5547621217796024,0.5135135135135136,0.3116133866133866,0.2222222222222222,beta,53
63,63,Logistic Regression,1.0,1.0,0.6093262578268923,0.5925675675675676,0.7551587301587301,0.8333333333333333,beta,53
64,64,Logistic Regression,0.7928571428571428,0.75,0.6069121743082878,0.5789473684210527,0.7156406093906094,0.625,beta,53
65,65,Logistic Regression,0.8541666666666666,0.8125,0.5512564241681656,0.50472334682861,0.6253177378177378,0.5357142857142858,beta,53
66,66,Logistic Regression,0.8303571428571428,0.8,0.5669735451426243,0.5958188153310104,0.6359375473011836,0.29545454545454547,beta,53
67,67,Logistic Regression,1.0,1.0,0.6272012073950676,0.5904183535762483,0.5425736961451246,0.39285714285714285,beta,53
68,68,Logistic Regression,0.8125,0.6875,0.5009300441993758,0.5276653171390013,0.6182230467944754,0.5,beta,53
69,69,Logistic Regression,0.8166666666666667,0.75,0.5434649052407271,0.5310391363022942,0.5329184704184704,0.5178571428571429,beta,53
