,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,0.4671870153255678,Logistic Regression,beta,13
1,0,Intercept,-0.23018954789774967,Logistic Regression,beta,13
0,1,biomarker,0.448662314264845,Logistic Regression,beta,13
1,1,Intercept,-0.3113860023416299,Logistic Regression,beta,13
0,2,biomarker,-0.3565408288872823,Logistic Regression,beta,13
1,2,Intercept,0.16743351889966396,Logistic Regression,beta,13
0,3,biomarker,-1.078606878259588,Logistic Regression,beta,13
1,3,Intercept,0.5920774682790928,Logistic Regression,beta,13
0,4,biomarker,-0.27925144498242466,Logistic Regression,beta,13
1,4,Intercept,0.17284677914558524,Logistic Regression,beta,13
0,5,biomarker,1.180246881384716,Logistic Regression,beta,13
1,5,Intercept,-0.3761993623761665,Logistic Regression,beta,13
0,6,biomarker,0.0688224293202773,Logistic Regression,beta,13
1,6,Intercept,0.03443528868614566,Logistic Regression,beta,13
0,7,biomarker,-0.5962198505575577,Logistic Regression,beta,13
1,7,Intercept,0.20302208400103772,Logistic Regression,beta,13
0,8,biomarker,0.549080699029143,Logistic Regression,beta,13
1,8,Intercept,-0.46691262257024285,Logistic Regression,beta,13
0,9,biomarker,0.9883139383907943,Logistic Regression,beta,13
1,9,Intercept,-0.5036638338514109,Logistic Regression,beta,13
0,10,biomarker,-0.9387312789381186,Logistic Regression,beta,13
1,10,Intercept,0.43903585792927113,Logistic Regression,beta,13
0,11,biomarker,-1.000257093227729,Logistic Regression,beta,13
1,11,Intercept,0.5986195714066729,Logistic Regression,beta,13
0,12,biomarker,0.037198515839521634,Logistic Regression,beta,13
1,12,Intercept,-0.04315486738234237,Logistic Regression,beta,13
0,13,biomarker,-0.5458229033862967,Logistic Regression,beta,13
1,13,Intercept,0.18228460280549635,Logistic Regression,beta,13
0,14,biomarker,-0.05273977174212653,Logistic Regression,beta,13
1,14,Intercept,-0.08882565972036298,Logistic Regression,beta,13
0,15,biomarker,-0.31206486333035016,Logistic Regression,beta,13
1,15,Intercept,0.1002954268359596,Logistic Regression,beta,13
0,16,biomarker,0.9449523211287341,Logistic Regression,beta,13
1,16,Intercept,-0.4877196422856435,Logistic Regression,beta,13
0,17,biomarker,-0.4957382284446632,Logistic Regression,beta,13
1,17,Intercept,0.26732341923764424,Logistic Regression,beta,13
0,18,biomarker,1.0726220444240486,Logistic Regression,beta,13
1,18,Intercept,-0.5951532038261108,Logistic Regression,beta,13
0,19,biomarker,-1.7130737526235473,Logistic Regression,beta,13
