,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.4572701465278799,beta,35
1,Logistic Regression,roc_auc,1,0.42617437434554506,beta,35
2,Logistic Regression,roc_auc,2,0.444917411352421,beta,35
3,Logistic Regression,roc_auc,3,0.4396754752959927,beta,35
4,Logistic Regression,roc_auc,4,0.42594397250018234,beta,35
5,Logistic Regression,roc_auc,5,0.45447658068539365,beta,35
6,Logistic Regression,roc_auc,6,0.4462386815469204,beta,35
7,Logistic Regression,roc_auc,7,0.4380420900216303,beta,35
8,Logistic Regression,roc_auc,8,0.44509172125841995,beta,35
9,Logistic Regression,roc_auc,9,0.4318311866791098,beta,35
10,Logistic Regression,roc_auc,10,0.4334967521674838,beta,35
11,Logistic Regression,roc_auc,11,0.4362555754356612,beta,35
12,Logistic Regression,roc_auc,12,0.4401382101421985,beta,35
13,Logistic Regression,roc_auc,13,0.4403319125798312,beta,35
14,Logistic Regression,roc_auc,14,0.4475796915121382,beta,35
15,Logistic Regression,roc_auc,15,0.4400097108142633,beta,35
16,Logistic Regression,roc_auc,16,0.4499101616290335,beta,35
17,Logistic Regression,roc_auc,17,0.4387757871938789,beta,35
18,Logistic Regression,roc_auc,18,0.45482533693705074,beta,35
19,Logistic Regression,roc_auc,19,0.443385568253153,beta,35
20,Logistic Regression,roc_auc,20,0.46225084267265903,beta,35
21,Logistic Regression,roc_auc,21,0.4349763617074327,beta,35
22,Logistic Regression,roc_auc,22,0.4544678896144904,beta,35
23,Logistic Regression,roc_auc,23,0.4354180214689769,beta,35
24,Logistic Regression,roc_auc,24,0.4507807114573815,beta,35
25,Logistic Regression,roc_auc,25,0.42643314425212087,beta,35
26,Logistic Regression,roc_auc,26,0.4600685300774356,beta,35
27,Logistic Regression,roc_auc,27,0.44105580648148807,beta,35
28,Logistic Regression,roc_auc,28,0.4394737871813661,beta,35
29,Logistic Regression,roc_auc,29,0.44661584959331524,beta,35
30,Logistic Regression,roc_auc,30,0.4412463842508799,beta,35
31,Logistic Regression,roc_auc,31,0.44663274233212835,beta,35
32,Logistic Regression,roc_auc,32,0.4530925919986315,beta,35
33,Logistic Regression,roc_auc,33,0.4602035332258456,beta,35
34,Logistic Regression,roc_auc,34,0.4439554347047409,beta,35
35,Logistic Regression,roc_auc,35,0.4521640961820525,beta,35
36,Logistic Regression,roc_auc,36,0.43212526216062636,beta,35
37,Logistic Regression,roc_auc,37,0.445912031053617,beta,35
38,Logistic Regression,roc_auc,38,0.4346597588885565,beta,35
39,Logistic Regression,roc_auc,39,0.4435929927526566,beta,35
40,Logistic Regression,roc_auc,40,0.44622361709357916,beta,35
41,Logistic Regression,roc_auc,41,0.4173088171941456,beta,35
42,Logistic Regression,roc_auc,42,0.453328399766642,beta,35
43,Logistic Regression,roc_auc,43,0.4294534301394314,beta,35
44,Logistic Regression,roc_auc,44,0.4534943286417378,beta,35
45,Logistic Regression,roc_auc,45,0.4320648973189542,beta,35
46,Logistic Regression,roc_auc,46,0.44431241064379157,beta,35
47,Logistic Regression,roc_auc,47,0.4588407133182884,beta,35
48,Logistic Regression,roc_auc,48,0.44517055732083954,beta,35
49,Logistic Regression,roc_auc,49,0.44141933929041477,beta,35
50,Logistic Regression,average_precision,0,0.4742773872026856,beta,35
51,Logistic Regression,average_precision,1,0.45529302361266927,beta,35
52,Logistic Regression,average_precision,2,0.47163301119369566,beta,35
53,Logistic Regression,average_precision,3,0.4753222695120135,beta,35
54,Logistic Regression,average_precision,4,0.4619682543052386,beta,35
55,Logistic Regression,average_precision,5,0.47764214698063046,beta,35
56,Logistic Regression,average_precision,6,0.46850746375307417,beta,35
57,Logistic Regression,average_precision,7,0.4733401178865375,beta,35
58,Logistic Regression,average_precision,8,0.4755119776026061,beta,35
59,Logistic Regression,average_precision,9,0.46885228584818217,beta,35
60,Logistic Regression,average_precision,10,0.47265424943874756,beta,35
61,Logistic Regression,average_precision,11,0.4746888424146833,beta,35
62,Logistic Regression,average_precision,12,0.48148584894514734,beta,35
63,Logistic Regression,average_precision,13,0.47992116230657667,beta,35
64,Logistic Regression,average_precision,14,0.45715285477319023,beta,35
65,Logistic Regression,average_precision,15,0.4711327490780629,beta,35
66,Logistic Regression,average_precision,16,0.48519068080156025,beta,35
67,Logistic Regression,average_precision,17,0.47958181318092324,beta,35
68,Logistic Regression,average_precision,18,0.48128914243115223,beta,35
69,Logistic Regression,average_precision,19,0.4920957838770579,beta,35
70,Logistic Regression,average_precision,20,0.4782135106065158,beta,35
71,Logistic Regression,average_precision,21,0.45447938888590966,beta,35
72,Logistic Regression,average_precision,22,0.4820465837381981,beta,35
73,Logistic Regression,average_precision,23,0.48392701227147505,beta,35
74,Logistic Regression,average_precision,24,0.4896134167677274,beta,35
75,Logistic Regression,average_precision,25,0.4712001720097664,beta,35
76,Logistic Regression,average_precision,26,0.45495275402499014,beta,35
77,Logistic Regression,average_precision,27,0.4914868286259525,beta,35
78,Logistic Regression,average_precision,28,0.4738923318702276,beta,35
79,Logistic Regression,average_precision,29,0.4674874048811544,beta,35
80,Logistic Regression,average_precision,30,0.4723451084547136,beta,35
81,Logistic Regression,average_precision,31,0.4731940742664839,beta,35
82,Logistic Regression,average_precision,32,0.49613484786106066,beta,35
83,Logistic Regression,average_precision,33,0.48129322195791197,beta,35
84,Logistic Regression,average_precision,34,0.4802819445734058,beta,35
85,Logistic Regression,average_precision,35,0.47590539045818187,beta,35
86,Logistic Regression,average_precision,36,0.47421897255075396,beta,35
87,Logistic Regression,average_precision,37,0.4710529698671756,beta,35
88,Logistic Regression,average_precision,38,0.4697581695601836,beta,35
89,Logistic Regression,average_precision,39,0.47488810757673555,beta,35
90,Logistic Regression,average_precision,40,0.4792749338055887,beta,35
91,Logistic Regression,average_precision,41,0.4768034141210805,beta,35
92,Logistic Regression,average_precision,42,0.48996964296955225,beta,35
93,Logistic Regression,average_precision,43,0.4586449705221059,beta,35
94,Logistic Regression,average_precision,44,0.48471558129446607,beta,35
95,Logistic Regression,average_precision,45,0.45575097782466983,beta,35
96,Logistic Regression,average_precision,46,0.4654930984889202,beta,35
97,Logistic Regression,average_precision,47,0.4697411876050753,beta,35
98,Logistic Regression,average_precision,48,0.48832624143211684,beta,35
99,Logistic Regression,average_precision,49,0.46924209295075503,beta,35
