,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.47104888751795093,beta,22
1,Logistic Regression,roc_auc,1,0.4445115566293505,beta,22
2,Logistic Regression,roc_auc,2,0.4572815883625835,beta,22
3,Logistic Regression,roc_auc,3,0.4483733741746357,beta,22
4,Logistic Regression,roc_auc,4,0.455131852947819,beta,22
5,Logistic Regression,roc_auc,5,0.46211159860451745,beta,22
6,Logistic Regression,roc_auc,6,0.4407835072445212,beta,22
7,Logistic Regression,roc_auc,7,0.455688698912796,beta,22
8,Logistic Regression,roc_auc,8,0.4591971100157196,beta,22
9,Logistic Regression,roc_auc,9,0.4422621966699553,beta,22
10,Logistic Regression,roc_auc,10,0.4533958172669791,beta,22
11,Logistic Regression,roc_auc,11,0.4305528314918663,beta,22
12,Logistic Regression,roc_auc,12,0.45275737770665603,beta,22
13,Logistic Regression,roc_auc,13,0.45332582242850517,beta,22
14,Logistic Regression,roc_auc,14,0.44724738421924903,beta,22
15,Logistic Regression,roc_auc,15,0.4434476236294702,beta,22
16,Logistic Regression,roc_auc,16,0.46730625836190487,beta,22
17,Logistic Regression,roc_auc,17,0.4522877672614389,beta,22
18,Logistic Regression,roc_auc,18,0.4506124289123179,beta,22
19,Logistic Regression,roc_auc,19,0.44771336243793874,beta,22
20,Logistic Regression,roc_auc,20,0.46937267109455005,beta,22
21,Logistic Regression,roc_auc,21,0.4498213516649918,beta,22
22,Logistic Regression,roc_auc,22,0.4528226114893292,beta,22
23,Logistic Regression,roc_auc,23,0.43690214244354375,beta,22
24,Logistic Regression,roc_auc,24,0.46518682391331845,beta,22
25,Logistic Regression,roc_auc,25,0.438805567813016,beta,22
26,Logistic Regression,roc_auc,26,0.4739567023002904,beta,22
27,Logistic Regression,roc_auc,27,0.4364447456347199,beta,22
28,Logistic Regression,roc_auc,28,0.4459740788696722,beta,22
29,Logistic Regression,roc_auc,29,0.45600426685630474,beta,22
30,Logistic Regression,roc_auc,30,0.44254856546557586,beta,22
31,Logistic Regression,roc_auc,31,0.45032842620368113,beta,22
32,Logistic Regression,roc_auc,32,0.4511648170718669,beta,22
33,Logistic Regression,roc_auc,33,0.4650178101574575,beta,22
34,Logistic Regression,roc_auc,34,0.4569415577741202,beta,22
35,Logistic Regression,roc_auc,35,0.45124805546913194,beta,22
36,Logistic Regression,roc_auc,36,0.4556395072781975,beta,22
37,Logistic Regression,roc_auc,37,0.4543458747300792,beta,22
38,Logistic Regression,roc_auc,38,0.43981036797875045,beta,22
39,Logistic Regression,roc_auc,39,0.45698012538348665,beta,22
40,Logistic Regression,roc_auc,40,0.45009109363963573,beta,22
41,Logistic Regression,roc_auc,41,0.4342337919454566,beta,22
42,Logistic Regression,roc_auc,42,0.4470701422353507,beta,22
43,Logistic Regression,roc_auc,43,0.43933233659082055,beta,22
44,Logistic Regression,roc_auc,44,0.4540799628609188,beta,22
45,Logistic Regression,roc_auc,45,0.4335112281766942,beta,22
46,Logistic Regression,roc_auc,46,0.4596821230679498,beta,22
47,Logistic Regression,roc_auc,47,0.46850150974947447,beta,22
48,Logistic Regression,roc_auc,48,0.4596395494100308,beta,22
49,Logistic Regression,roc_auc,49,0.4575144421283286,beta,22
50,Logistic Regression,average_precision,0,0.48566494421782636,beta,22
51,Logistic Regression,average_precision,1,0.46611815145960217,beta,22
52,Logistic Regression,average_precision,2,0.4826725842571414,beta,22
53,Logistic Regression,average_precision,3,0.48786423966238135,beta,22
54,Logistic Regression,average_precision,4,0.4831683854458826,beta,22
