,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,0.95,0.9375,0.556700450381912,0.5715249662618084,0.6899659863945578,0.7321428571428572,beta,360
1,1,Logistic Regression,0.8125,0.75,0.4728774843506885,0.5162855162855162,0.8350529100529103,0.7592592592592593,beta,360
2,2,Logistic Regression,0.75,0.5625,0.5274831524626509,0.4993252361673414,0.5075660450660451,0.3392857142857143,beta,360
3,3,Logistic Regression,0.875,0.75,0.5031269113694221,0.5087719298245614,0.6257326007326007,0.6607142857142857,beta,360
4,4,Logistic Regression,0.5902777777777777,0.6000000000000001,0.5221407868969259,0.5086625086625086,0.44926739926739934,0.375,beta,360
5,5,Logistic Regression,1.0,1.0,0.7175631216949427,0.5807113543091654,0.14835164835164835,0.34615384615384615,beta,360
6,6,Logistic Regression,0.8041666666666667,0.8125,0.5735761685997111,0.5128378378378378,0.33885281385281385,0.3148148148148148,beta,360
7,7,Logistic Regression,0.7708333333333333,0.75,0.537286269426656,0.5663956639566397,0.7453463203463203,0.54,beta,360
8,8,Logistic Regression,0.8541666666666666,0.8125,0.5329007565811594,0.5768707482993197,0.7141676505312868,0.38636363636363635,beta,360
9,9,Logistic Regression,0.8261904761904761,0.75,0.5966425768855813,0.5311634349030471,0.5072201607915894,0.3392857142857143,beta,360
10,10,Logistic Regression,0.8166666666666667,0.8,0.5283655512529108,0.4975744975744976,0.5957570207570207,0.4444444444444444,beta,360
11,11,Logistic Regression,0.8083333333333333,0.7,0.5578614653127767,0.4961884961884962,0.5651126651126651,0.38888888888888895,beta,360
12,12,Logistic Regression,1.0,1.0,0.593391848184738,0.5855855855855856,0.64617673992674,0.6071428571428572,beta,360
13,13,Logistic Regression,0.5845238095238094,0.65,0.4835212086408156,0.5062500000000001,0.5846961371961372,0.36,beta,360
14,14,Logistic Regression,0.7291666666666666,0.625,0.4819703242344536,0.5074525745257452,0.6683866133866133,0.5,beta,360
15,15,Logistic Regression,0.8541666666666666,0.8125,0.5211197837952172,0.5222972972972972,0.5624579124579125,0.2777777777777778,beta,360
16,16,Logistic Regression,0.7678571428571428,0.625,0.49686869984195464,0.5080971659919028,0.5365380651094938,0.4285714285714286,beta,360
17,17,Logistic Regression,0.9428571428571428,0.9,0.6468161662766364,0.6045706371191136,0.4852040816326531,0.49999999999999994,beta,360
18,18,Logistic Regression,0.7592857142857143,0.6,0.5228151856409433,0.5058905058905059,0.6781565656565656,0.5535714285714286,beta,360
19,19,Logistic Regression,0.8875,0.875,0.4828674408555107,0.5128378378378379,0.612061087061087,0.4444444444444445,beta,360
20,20,Logistic Regression,0.95,0.9375,0.5296646160782481,0.5060728744939271,0.5895104895104895,0.39285714285714285,beta,360
21,21,Logistic Regression,0.7095238095238094,0.7000000000000001,0.5064806009079603,0.5232155232155232,0.6860127526794194,0.611111111111111,beta,360
22,22,Logistic Regression,0.8875,0.875,0.500505107824085,0.50944669365722,0.49290293040293043,0.3928571428571429,beta,360
23,23,Logistic Regression,0.7961904761904761,0.6000000000000001,0.5588508864296122,0.501360544217687,0.1748917748917749,0.25,beta,360
24,24,Logistic Regression,0.95,0.9500000000000001,0.5521833318831623,0.5592515592515592,0.7391855058521726,0.6851851851851852,beta,360
25,25,Logistic Regression,0.9266666666666665,0.9,0.5795702690245549,0.5156794425087108,0.2582001332001332,0.38636363636363635,beta,360
26,26,Logistic Regression,0.775,0.7,0.5111742422570476,0.5076177285318559,0.6171890609390609,0.4285714285714286,beta,360
27,27,Logistic Regression,0.8541666666666666,0.8125,0.5378992339565531,0.4993252361673414,0.6495730460016174,0.6428571428571428,beta,360
28,28,Logistic Regression,0.775,0.625,0.5039089781236593,0.5128205128205128,0.68125,0.6785714285714286,beta,360
29,29,Logistic Regression,0.8928571428571428,0.8125,0.5747585132879882,0.5682432432432432,0.40854700854700854,0.37037037037037046,beta,360
30,30,Logistic Regression,0.6666666666666666,0.6,0.4573624362560081,0.49133749133749133,0.6741733575066908,0.5185185185185186,beta,360
31,31,Logistic Regression,0.8928571428571428,0.8125,0.492603229133903,0.5277777777777778,0.7142596292596293,0.5399999999999999,beta,360
32,32,Logistic Regression,0.875,0.8,0.5761958346639002,0.5128205128205128,0.6007020757020757,0.37037037037037035,beta,360
33,33,Logistic Regression,0.9666666666666666,0.95,0.6727708212239356,0.6433518005540166,0.4833333333333333,0.42857142857142855,beta,360
34,34,Logistic Regression,0.8875,0.9,0.5046553119940187,0.5072765072765072,0.426883830455259,0.2857142857142857,beta,360
35,35,Logistic Regression,0.5428571428571428,0.5,0.4803226721730219,0.5250677506775068,0.5315601065601065,0.16,beta,360
36,36,Logistic Regression,0.7708333333333333,0.75,0.48425402017232033,0.5229419703103914,0.6110653235653235,0.4464285714285715,beta,360
37,37,Logistic Regression,0.7708333333333333,0.8,0.5645920330850892,0.5069252077562327,0.6937160062160063,0.5714285714285714,beta,360
38,38,Logistic Regression,1.0,1.0,0.5950933052290135,0.5697831978319783,0.5436507936507936,0.66,beta,360
39,39,Logistic Regression,0.9266666666666665,0.9,0.5927077448370596,0.6395833333333334,0.3226406926406926,0.38,beta,360
40,40,Logistic Regression,1.0,1.0,0.5324295844918076,0.5148448043184886,0.5810290404040404,0.4107142857142857,beta,360
