,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.43564165006207,beta,114
1,Logistic Regression,roc_auc,1,0.4157453185917641,beta,114
2,Logistic Regression,roc_auc,2,0.45587484032920755,beta,114
3,Logistic Regression,roc_auc,3,0.43690410120673956,beta,114
4,Logistic Regression,roc_auc,4,0.4425329565682845,beta,114
5,Logistic Regression,roc_auc,5,0.4304825562453357,beta,114
6,Logistic Regression,roc_auc,6,0.4202720340851702,beta,114
7,Logistic Regression,roc_auc,7,0.42983647469831515,beta,114
8,Logistic Regression,roc_auc,8,0.4416637325822077,beta,114
9,Logistic Regression,roc_auc,9,0.4458399784097078,beta,114
10,Logistic Regression,roc_auc,10,0.4598225072991125,beta,114
11,Logistic Regression,roc_auc,11,0.41703213594612176,beta,114
12,Logistic Regression,roc_auc,12,0.4270584013883263,beta,114
13,Logistic Regression,roc_auc,13,0.4342019374396803,beta,114
14,Logistic Regression,roc_auc,14,0.4289231376565734,beta,114
15,Logistic Regression,roc_auc,15,0.4312379643038649,beta,114
16,Logistic Regression,roc_auc,16,0.438899903469882,beta,114
17,Logistic Regression,roc_auc,17,0.43657570718287847,beta,114
18,Logistic Regression,roc_auc,18,0.4339519793842943,beta,114
19,Logistic Regression,roc_auc,19,0.41956910203732234,beta,114
20,Logistic Regression,roc_auc,20,0.4526849968710889,beta,114
21,Logistic Regression,roc_auc,21,0.42600972198950104,beta,114
22,Logistic Regression,roc_auc,22,0.44860434874648436,beta,114
23,Logistic Regression,roc_auc,23,0.4399625851855152,beta,114
24,Logistic Regression,roc_auc,24,0.4238133916150556,beta,114
25,Logistic Regression,roc_auc,25,0.41985904315891365,beta,114
26,Logistic Regression,roc_auc,26,0.4523585627455446,beta,114
27,Logistic Regression,roc_auc,27,0.4378829193055447,beta,114
28,Logistic Regression,roc_auc,28,0.4399615647299037,beta,114
29,Logistic Regression,roc_auc,29,0.4375981154717988,beta,114
30,Logistic Regression,roc_auc,30,0.42753089094104446,beta,114
