,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,14.52748049476036,Logistic Regression,beta,156
1,0,Intercept,-9.295477178025735,Logistic Regression,beta,156
0,1,biomarker,11.543586063086194,Logistic Regression,beta,156
1,1,Intercept,-7.239937477363905,Logistic Regression,beta,156
0,2,biomarker,15.430929465852701,Logistic Regression,beta,156
1,2,Intercept,-10.089680495528977,Logistic Regression,beta,156
0,3,biomarker,12.888683885317757,Logistic Regression,beta,156
1,3,Intercept,-8.16300799455717,Logistic Regression,beta,156
0,4,biomarker,15.553228365263005,Logistic Regression,beta,156
1,4,Intercept,-10.41523970778926,Logistic Regression,beta,156
0,5,biomarker,12.029573930213257,Logistic Regression,beta,156
1,5,Intercept,-7.847847556966437,Logistic Regression,beta,156
0,6,biomarker,12.159911257696747,Logistic Regression,beta,156
1,6,Intercept,-7.947647848152668,Logistic Regression,beta,156
0,7,biomarker,14.71290094801727,Logistic Regression,beta,156
1,7,Intercept,-9.63486479776785,Logistic Regression,beta,156
0,8,biomarker,11.919382291153736,Logistic Regression,beta,156
1,8,Intercept,-7.784292996464876,Logistic Regression,beta,156
0,9,biomarker,12.017640623983928,Logistic Regression,beta,156
1,9,Intercept,-7.894176908204812,Logistic Regression,beta,156
0,10,biomarker,13.452346678427721,Logistic Regression,beta,156
1,10,Intercept,-8.936593842532647,Logistic Regression,beta,156
0,11,biomarker,12.123182566282809,Logistic Regression,beta,156
1,11,Intercept,-7.975859258522403,Logistic Regression,beta,156
0,12,biomarker,12.323734889023632,Logistic Regression,beta,156
1,12,Intercept,-8.086478195145512,Logistic Regression,beta,156
0,13,biomarker,12.4154398382229,Logistic Regression,beta,156
1,13,Intercept,-8.27457838871118,Logistic Regression,beta,156
0,14,biomarker,11.97958925070374,Logistic Regression,beta,156
1,14,Intercept,-7.69966080955323,Logistic Regression,beta,156
0,15,biomarker,13.632159909435572,Logistic Regression,beta,156
1,15,Intercept,-9.039506460548983,Logistic Regression,beta,156
0,16,biomarker,12.454886985529715,Logistic Regression,beta,156
1,16,Intercept,-8.188019756317011,Logistic Regression,beta,156
0,17,biomarker,11.94665402208206,Logistic Regression,beta,156
1,17,Intercept,-7.687331807355093,Logistic Regression,beta,156
0,18,biomarker,11.610167716068947,Logistic Regression,beta,156
1,18,Intercept,-7.639480249616424,Logistic Regression,beta,156
0,19,biomarker,18.8145631632941,Logistic Regression,beta,156
1,19,Intercept,-12.46407142172997,Logistic Regression,beta,156
0,20,biomarker,11.370995344404562,Logistic Regression,beta,156
1,20,Intercept,-7.229889145180404,Logistic Regression,beta,156
0,21,biomarker,15.432681952972434,Logistic Regression,beta,156
1,21,Intercept,-9.928834654098676,Logistic Regression,beta,156
0,22,biomarker,11.540533766408029,Logistic Regression,beta,156
1,22,Intercept,-7.494831723104007,Logistic Regression,beta,156
0,23,biomarker,12.179428338011123,Logistic Regression,beta,156
1,23,Intercept,-7.912521630207058,Logistic Regression,beta,156
0,24,biomarker,14.636600380862836,Logistic Regression,beta,156
1,24,Intercept,-9.613271640915219,Logistic Regression,beta,156
0,25,biomarker,12.072628978293942,Logistic Regression,beta,156
1,25,Intercept,-7.724833198995044,Logistic Regression,beta,156
0,26,biomarker,11.771115159766424,Logistic Regression,beta,156
1,26,Intercept,-7.5549214769890245,Logistic Regression,beta,156
0,27,biomarker,12.040709359440491,Logistic Regression,beta,156
1,27,Intercept,-7.683726504127302,Logistic Regression,beta,156
0,28,biomarker,15.118896891766742,Logistic Regression,beta,156
1,28,Intercept,-9.939848671464263,Logistic Regression,beta,156
0,29,biomarker,12.976139182487476,Logistic Regression,beta,156
1,29,Intercept,-8.21856755428463,Logistic Regression,beta,156
0,30,biomarker,14.06606316055397,Logistic Regression,beta,156
1,30,Intercept,-9.314631629160624,Logistic Regression,beta,156
0,31,biomarker,12.286430620759202,Logistic Regression,beta,156
1,31,Intercept,-7.820020138866499,Logistic Regression,beta,156
0,32,biomarker,14.847631444588034,Logistic Regression,beta,156
1,32,Intercept,-9.601603803932813,Logistic Regression,beta,156
0,33,biomarker,12.884446011848803,Logistic Regression,beta,156
1,33,Intercept,-7.914478796393393,Logistic Regression,beta,156
0,34,biomarker,12.135139828037927,Logistic Regression,beta,156
1,34,Intercept,-8.03216705416522,Logistic Regression,beta,156
0,35,biomarker,13.307729864461134,Logistic Regression,beta,156
1,35,Intercept,-7.872351696290727,Logistic Regression,beta,156
0,36,biomarker,11.59972742341214,Logistic Regression,beta,156
1,36,Intercept,-7.508098395852513,Logistic Regression,beta,156
0,37,biomarker,13.325814728451949,Logistic Regression,beta,156
1,37,Intercept,-8.692564964645882,Logistic Regression,beta,156
0,38,biomarker,12.624816184158234,Logistic Regression,beta,156
1,38,Intercept,-7.980821071001932,Logistic Regression,beta,156
0,39,biomarker,11.811539151944284,Logistic Regression,beta,156
1,39,Intercept,-7.5332207526436195,Logistic Regression,beta,156
0,40,biomarker,13.091078690149759,Logistic Regression,beta,156
1,40,Intercept,-8.565678305156164,Logistic Regression,beta,156
0,41,biomarker,11.685390392218672,Logistic Regression,beta,156
1,41,Intercept,-7.566700078501437,Logistic Regression,beta,156
0,42,biomarker,12.019604494911933,Logistic Regression,beta,156
1,42,Intercept,-7.71261575769625,Logistic Regression,beta,156
0,43,biomarker,14.435972355080995,Logistic Regression,beta,156
1,43,Intercept,-9.672595451078564,Logistic Regression,beta,156
0,44,biomarker,11.837611657797986,Logistic Regression,beta,156
1,44,Intercept,-7.702872794887409,Logistic Regression,beta,156
0,45,biomarker,13.10864264316078,Logistic Regression,beta,156
1,45,Intercept,-8.693087500487117,Logistic Regression,beta,156
0,46,biomarker,14.770808852685448,Logistic Regression,beta,156
1,46,Intercept,-9.568112687386172,Logistic Regression,beta,156
0,47,biomarker,13.590364506162976,Logistic Regression,beta,156
1,47,Intercept,-8.766965993667695,Logistic Regression,beta,156
0,48,biomarker,12.192172828629126,Logistic Regression,beta,156
1,48,Intercept,-7.864248800948454,Logistic Regression,beta,156
0,49,biomarker,11.824106070608856,Logistic Regression,beta,156
1,49,Intercept,-7.78616443604223,Logistic Regression,beta,156
0,50,biomarker,11.828282250211153,Logistic Regression,beta,156
1,50,Intercept,-7.740098184073649,Logistic Regression,beta,156
0,51,biomarker,12.395943860920855,Logistic Regression,beta,156
1,51,Intercept,-7.805276405806024,Logistic Regression,beta,156
0,52,biomarker,11.544012614639753,Logistic Regression,beta,156
1,52,Intercept,-7.399183044800879,Logistic Regression,beta,156
0,53,biomarker,11.881391574768223,Logistic Regression,beta,156
1,53,Intercept,-7.54469155212852,Logistic Regression,beta,156
0,54,biomarker,12.633864427307692,Logistic Regression,beta,156
1,54,Intercept,-8.139815645188861,Logistic Regression,beta,156
0,55,biomarker,12.084063335811836,Logistic Regression,beta,156
1,55,Intercept,-7.31954942909523,Logistic Regression,beta,156
0,56,biomarker,13.704223044581603,Logistic Regression,beta,156
1,56,Intercept,-8.807834880689562,Logistic Regression,beta,156
0,57,biomarker,12.337497564120206,Logistic Regression,beta,156
1,57,Intercept,-8.089492904421277,Logistic Regression,beta,156
0,58,biomarker,12.277257235838555,Logistic Regression,beta,156
1,58,Intercept,-7.901470213403767,Logistic Regression,beta,156
0,59,biomarker,13.485300436397035,Logistic Regression,beta,156
1,59,Intercept,-8.937544124195515,Logistic Regression,beta,156
0,60,biomarker,12.072332520143231,Logistic Regression,beta,156
1,60,Intercept,-7.868230389624329,Logistic Regression,beta,156
0,61,biomarker,12.800495014339345,Logistic Regression,beta,156
1,61,Intercept,-8.367022243932897,Logistic Regression,beta,156
0,62,biomarker,11.715375856790596,Logistic Regression,beta,156
1,62,Intercept,-7.554940676929274,Logistic Regression,beta,156
0,63,biomarker,12.200470524111656,Logistic Regression,beta,156
1,63,Intercept,-7.813583402073247,Logistic Regression,beta,156
0,64,biomarker,11.702644471450348,Logistic Regression,beta,156
1,64,Intercept,-7.3993897033600735,Logistic Regression,beta,156
0,65,biomarker,11.853872121442363,Logistic Regression,beta,156
1,65,Intercept,-7.566282356651231,Logistic Regression,beta,156
0,66,biomarker,11.879790498274257,Logistic Regression,beta,156
1,66,Intercept,-7.702566225960313,Logistic Regression,beta,156
0,67,biomarker,11.926836977775702,Logistic Regression,beta,156
1,67,Intercept,-7.716740748273972,Logistic Regression,beta,156
0,68,biomarker,13.167129613076295,Logistic Regression,beta,156
1,68,Intercept,-8.71350415280924,Logistic Regression,beta,156
0,69,biomarker,14.878695363783025,Logistic Regression,beta,156
1,69,Intercept,-9.639749743696731,Logistic Regression,beta,156
0,70,biomarker,11.658284498414337,Logistic Regression,beta,156
1,70,Intercept,-7.531661499799792,Logistic Regression,beta,156
0,71,biomarker,9.886716075064538,Logistic Regression,beta,156
1,71,Intercept,-5.496404293113629,Logistic Regression,beta,156
0,72,biomarker,12.070995610084228,Logistic Regression,beta,156
1,72,Intercept,-7.924132180218257,Logistic Regression,beta,156
0,73,biomarker,13.083146113241197,Logistic Regression,beta,156
1,73,Intercept,-8.622714734425333,Logistic Regression,beta,156
0,74,biomarker,13.126353122588862,Logistic Regression,beta,156
1,74,Intercept,-8.599882836246373,Logistic Regression,beta,156
0,75,biomarker,11.876939794811038,Logistic Regression,beta,156
1,75,Intercept,-7.691785693574023,Logistic Regression,beta,156
0,76,biomarker,13.447327782231534,Logistic Regression,beta,156
1,76,Intercept,-8.897788229105934,Logistic Regression,beta,156
0,77,biomarker,12.163006312270548,Logistic Regression,beta,156
1,77,Intercept,-7.794781356630049,Logistic Regression,beta,156
0,78,biomarker,12.385738154479284,Logistic Regression,beta,156
1,78,Intercept,-8.267392667889641,Logistic Regression,beta,156
0,79,biomarker,12.113837432013877,Logistic Regression,beta,156
1,79,Intercept,-7.500019822638543,Logistic Regression,beta,156
0,80,biomarker,11.72131867986314,Logistic Regression,beta,156
1,80,Intercept,-7.504849208841151,Logistic Regression,beta,156
0,81,biomarker,12.108191374919823,Logistic Regression,beta,156
1,81,Intercept,-8.06310095214058,Logistic Regression,beta,156
0,82,biomarker,11.397645559520436,Logistic Regression,beta,156
1,82,Intercept,-7.414627470178567,Logistic Regression,beta,156
0,83,biomarker,11.537330319566136,Logistic Regression,beta,156
1,83,Intercept,-7.480732805107145,Logistic Regression,beta,156
0,84,biomarker,12.227011917188232,Logistic Regression,beta,156
1,84,Intercept,-7.928599425952056,Logistic Regression,beta,156
0,85,biomarker,12.686783795941889,Logistic Regression,beta,156
1,85,Intercept,-8.180588207223792,Logistic Regression,beta,156
0,86,biomarker,11.910977880803888,Logistic Regression,beta,156
1,86,Intercept,-7.6735676453437005,Logistic Regression,beta,156
0,87,biomarker,11.469582730156942,Logistic Regression,beta,156
1,87,Intercept,-7.332986449380721,Logistic Regression,beta,156
0,88,biomarker,11.08982777405204,Logistic Regression,beta,156
1,88,Intercept,-6.861523959309175,Logistic Regression,beta,156
0,89,biomarker,12.00215725600047,Logistic Regression,beta,156
1,89,Intercept,-7.857641750280058,Logistic Regression,beta,156
0,90,biomarker,11.883692289846508,Logistic Regression,beta,156
1,90,Intercept,-7.480421025113411,Logistic Regression,beta,156
0,91,biomarker,11.598687599313621,Logistic Regression,beta,156
1,91,Intercept,-7.55518324242866,Logistic Regression,beta,156
0,92,biomarker,11.76175003185354,Logistic Regression,beta,156
1,92,Intercept,-7.567592260203066,Logistic Regression,beta,156
0,93,biomarker,12.78081177140306,Logistic Regression,beta,156
1,93,Intercept,-8.235012474193885,Logistic Regression,beta,156
0,94,biomarker,14.96250458453356,Logistic Regression,beta,156
1,94,Intercept,-9.745462997176352,Logistic Regression,beta,156
0,95,biomarker,13.215885917670501,Logistic Regression,beta,156
1,95,Intercept,-8.851475893631264,Logistic Regression,beta,156
0,96,biomarker,11.824610305576696,Logistic Regression,beta,156
1,96,Intercept,-7.684692134912885,Logistic Regression,beta,156
0,97,biomarker,12.602858184584555,Logistic Regression,beta,156
1,97,Intercept,-8.195522338644697,Logistic Regression,beta,156
0,98,biomarker,12.551348057096563,Logistic Regression,beta,156
1,98,Intercept,-8.381996861085701,Logistic Regression,beta,156
0,99,biomarker,13.555156499569417,Logistic Regression,beta,156
1,99,Intercept,-9.109685648218123,Logistic Regression,beta,156
0,100,biomarker,11.59177853120542,Logistic Regression,beta,156
1,100,Intercept,-7.3568786333168035,Logistic Regression,beta,156
0,101,biomarker,12.375192094328746,Logistic Regression,beta,156
1,101,Intercept,-8.266649508231643,Logistic Regression,beta,156
0,102,biomarker,11.941259700072814,Logistic Regression,beta,156
1,102,Intercept,-7.867344098184011,Logistic Regression,beta,156
0,103,biomarker,11.43380736461511,Logistic Regression,beta,156
1,103,Intercept,-7.143709457399945,Logistic Regression,beta,156
0,104,biomarker,11.95359316805384,Logistic Regression,beta,156
1,104,Intercept,-7.650876925808962,Logistic Regression,beta,156
0,105,biomarker,15.393221343996194,Logistic Regression,beta,156
1,105,Intercept,-9.696922469559782,Logistic Regression,beta,156
0,106,biomarker,13.47532976957546,Logistic Regression,beta,156
1,106,Intercept,-8.95640921169461,Logistic Regression,beta,156
0,107,biomarker,12.556656697793125,Logistic Regression,beta,156
1,107,Intercept,-8.027240201666448,Logistic Regression,beta,156
0,108,biomarker,15.105041302869735,Logistic Regression,beta,156
1,108,Intercept,-10.066278183552125,Logistic Regression,beta,156
0,109,biomarker,12.484355569788066,Logistic Regression,beta,156
1,109,Intercept,-7.971146740001377,Logistic Regression,beta,156
0,110,biomarker,12.214452588640153,Logistic Regression,beta,156
1,110,Intercept,-8.136952097793344,Logistic Regression,beta,156
0,111,biomarker,12.341685182925675,Logistic Regression,beta,156
1,111,Intercept,-7.833708525180608,Logistic Regression,beta,156
0,112,biomarker,12.53998889897042,Logistic Regression,beta,156
1,112,Intercept,-7.893692466386367,Logistic Regression,beta,156
0,113,biomarker,18.7360129034936,Logistic Regression,beta,156
1,113,Intercept,-12.393104259567286,Logistic Regression,beta,156
0,114,biomarker,12.153138267992157,Logistic Regression,beta,156
1,114,Intercept,-7.96121991127199,Logistic Regression,beta,156
0,115,biomarker,12.072181198217029,Logistic Regression,beta,156
1,115,Intercept,-7.630670054736057,Logistic Regression,beta,156
0,116,biomarker,14.2111994746452,Logistic Regression,beta,156
1,116,Intercept,-9.280819788303793,Logistic Regression,beta,156
0,117,biomarker,12.108650143995877,Logistic Regression,beta,156
1,117,Intercept,-7.907473665399257,Logistic Regression,beta,156
0,118,biomarker,15.575358590740832,Logistic Regression,beta,156
1,118,Intercept,-10.127355974285585,Logistic Regression,beta,156
0,119,biomarker,17.48205798619103,Logistic Regression,beta,156
1,119,Intercept,-11.77140333436636,Logistic Regression,beta,156
0,120,biomarker,12.955094436155376,Logistic Regression,beta,156
1,120,Intercept,-8.43543470248493,Logistic Regression,beta,156
0,121,biomarker,13.60482032018175,Logistic Regression,beta,156
1,121,Intercept,-8.999494111558459,Logistic Regression,beta,156
0,122,biomarker,12.274451270594176,Logistic Regression,beta,156
1,122,Intercept,-7.8034524458660295,Logistic Regression,beta,156
0,123,biomarker,12.064238343139468,Logistic Regression,beta,156
1,123,Intercept,-7.799545156444929,Logistic Regression,beta,156
0,124,biomarker,16.41575860900463,Logistic Regression,beta,156
1,124,Intercept,-10.508706346600405,Logistic Regression,beta,156
0,125,biomarker,10.15461399172415,Logistic Regression,beta,156
1,125,Intercept,-5.9726140682940905,Logistic Regression,beta,156
0,126,biomarker,15.191979803321022,Logistic Regression,beta,156
1,126,Intercept,-10.027144158305449,Logistic Regression,beta,156
0,127,biomarker,11.871407564511292,Logistic Regression,beta,156
1,127,Intercept,-7.678299216789937,Logistic Regression,beta,156
0,128,biomarker,17.932177249902054,Logistic Regression,beta,156
1,128,Intercept,-11.813758229513319,Logistic Regression,beta,156
0,129,biomarker,14.442035193843386,Logistic Regression,beta,156
1,129,Intercept,-9.525293177676724,Logistic Regression,beta,156
0,130,biomarker,12.674771976743699,Logistic Regression,beta,156
1,130,Intercept,-7.8536531496128505,Logistic Regression,beta,156
0,131,biomarker,14.623214418873099,Logistic Regression,beta,156
1,131,Intercept,-9.572968213681243,Logistic Regression,beta,156
0,132,biomarker,11.507265300054506,Logistic Regression,beta,156
1,132,Intercept,-7.380882699211823,Logistic Regression,beta,156
0,133,biomarker,12.966071760061132,Logistic Regression,beta,156
1,133,Intercept,-8.402696226533545,Logistic Regression,beta,156
0,134,biomarker,11.791781619759671,Logistic Regression,beta,156
1,134,Intercept,-7.631021055696475,Logistic Regression,beta,156
0,135,biomarker,11.954232656833947,Logistic Regression,beta,156
1,135,Intercept,-7.936154362740474,Logistic Regression,beta,156
0,136,biomarker,11.907252598684401,Logistic Regression,beta,156
1,136,Intercept,-7.628033366792469,Logistic Regression,beta,156
0,137,biomarker,16.53883940871047,Logistic Regression,beta,156
1,137,Intercept,-10.836167956929865,Logistic Regression,beta,156
0,138,biomarker,11.539969097615362,Logistic Regression,beta,156
1,138,Intercept,-7.550574398407417,Logistic Regression,beta,156
0,139,biomarker,12.479853403942547,Logistic Regression,beta,156
1,139,Intercept,-8.240713316387565,Logistic Regression,beta,156
0,140,biomarker,13.06841693661761,Logistic Regression,beta,156
1,140,Intercept,-8.52877121746633,Logistic Regression,beta,156
0,141,biomarker,12.322591925206588,Logistic Regression,beta,156
1,141,Intercept,-8.111956684838063,Logistic Regression,beta,156
0,142,biomarker,11.737713306270203,Logistic Regression,beta,156
1,142,Intercept,-7.573590826928179,Logistic Regression,beta,156
0,143,biomarker,12.402361999390369,Logistic Regression,beta,156
1,143,Intercept,-8.0476792084425,Logistic Regression,beta,156
0,144,biomarker,12.704879714887037,Logistic Regression,beta,156
1,144,Intercept,-8.230458977793921,Logistic Regression,beta,156
0,145,biomarker,12.15855502928354,Logistic Regression,beta,156
1,145,Intercept,-7.760806181659783,Logistic Regression,beta,156
0,146,biomarker,12.187018077441353,Logistic Regression,beta,156
1,146,Intercept,-7.812612632761579,Logistic Regression,beta,156
0,147,biomarker,16.264117065693455,Logistic Regression,beta,156
1,147,Intercept,-10.775742831353867,Logistic Regression,beta,156
0,148,biomarker,12.084221987155857,Logistic Regression,beta,156
1,148,Intercept,-7.753723017951283,Logistic Regression,beta,156
0,149,biomarker,14.975362113096233,Logistic Regression,beta,156
1,149,Intercept,-9.67366062686653,Logistic Regression,beta,156
0,150,biomarker,12.24617931099299,Logistic Regression,beta,156
1,150,Intercept,-7.864632209101532,Logistic Regression,beta,156
