,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,1.0,1.0,0.9220852710225524,0.8888888888888888,0.9428571428571428,0.9600000000000001,beta,378
1,1,Logistic Regression,1.0,1.0,0.9078062261758284,0.8668989547038327,0.95,0.9772727272727273,beta,378
2,2,Logistic Regression,1.0,1.0,0.8823623388621441,0.8583333333333333,1.0,1.0,beta,378
3,3,Logistic Regression,1.0,1.0,0.9279159643887641,0.9064449064449064,0.8722222222222222,0.8148148148148148,beta,378
4,4,Logistic Regression,1.0,1.0,0.9342165176155626,0.9222222222222222,0.8753102453102453,0.74,beta,378
5,5,Logistic Regression,1.0,1.0,0.8925826158865784,0.8826388888888889,0.9666666666666667,0.9,beta,378
6,6,Logistic Regression,1.0,1.0,0.9148574573778413,0.9020833333333332,0.9484848484848484,0.8600000000000001,beta,378
7,7,Logistic Regression,1.0,1.0,0.9200336701938205,0.896049896049896,0.9064685314685315,0.8392857142857143,beta,378
8,8,Logistic Regression,1.0,1.0,0.9040073126957783,0.8840277777777777,0.9532467532467531,0.8800000000000001,beta,378
9,9,Logistic Regression,1.0,1.0,0.9387288215526814,0.9388888888888889,0.8366666666666666,0.62,beta,378
10,10,Logistic Regression,1.0,1.0,0.9192496169735809,0.8939708939708939,0.9278138528138529,0.888888888888889,beta,378
11,11,Logistic Regression,1.0,1.0,0.9121899392810044,0.8850415512465373,0.9129251700680272,0.9107142857142857,beta,378
12,12,Logistic Regression,1.0,1.0,0.8944215402135095,0.8731707317073171,0.9924242424242424,0.9772727272727273,beta,378
13,13,Logistic Regression,1.0,1.0,0.9011784673720086,0.8791666666666665,0.9278138528138529,0.888888888888889,beta,378
14,14,Logistic Regression,1.0,1.0,0.9079120512156167,0.8752598752598753,0.9379251700680272,0.9464285714285714,beta,378
15,15,Logistic Regression,1.0,1.0,0.8942209044431816,0.863697705802969,0.9617346938775511,0.9642857142857143,beta,378
16,16,Logistic Regression,1.0,1.0,0.9278155689367132,0.9106648199445982,0.8649621212121212,0.7678571428571428,beta,378
17,17,Logistic Regression,1.0,1.0,0.9053754847707169,0.8801108801108801,0.9040178571428572,0.875,beta,378
18,18,Logistic Regression,1.0,1.0,0.9144150879644259,0.8891198891198892,0.9013548180214848,0.8333333333333334,beta,378
19,19,Logistic Regression,1.0,1.0,0.8892099665691192,0.8673611111111111,0.9575757575757577,0.925925925925926,beta,378
20,20,Logistic Regression,1.0,1.0,0.9092282317718364,0.8829639889196677,0.9526289682539683,0.9464285714285715,beta,378
21,21,Logistic Regression,1.0,1.0,0.8900895634892698,0.8648648648648649,0.9765432098765432,0.962962962962963,beta,378
22,22,Logistic Regression,1.0,1.0,0.8970654097897961,0.8663434903047091,0.9617346938775511,0.9642857142857143,beta,378
23,23,Logistic Regression,1.0,1.0,0.925719069071167,0.904054054054054,0.8090909090909091,0.7222222222222223,beta,378
24,24,Logistic Regression,1.0,1.0,0.9035168374014085,0.8795013850415512,0.9682539682539681,0.9642857142857143,beta,378
25,25,Logistic Regression,1.0,1.0,0.899083974594944,0.8625,0.9428571428571428,0.9600000000000001,beta,378
26,26,Logistic Regression,1.0,1.0,0.9306426378464884,0.9141274238227147,0.857521645021645,0.7678571428571428,beta,378
27,27,Logistic Regression,1.0,1.0,0.9224012545666086,0.8911988911988912,0.9107142857142857,0.9259259259259259,beta,378
28,28,Logistic Regression,1.0,1.0,0.8987523866992346,0.8676368676368676,0.9467813051146385,0.9259259259259259,beta,378
29,29,Logistic Regression,1.0,1.0,0.9164414492669011,0.9043659043659044,0.9035714285714287,0.8148148148148149,beta,378
30,30,Logistic Regression,1.0,1.0,0.9151925558515003,0.8925848925848925,0.9034013605442175,0.8392857142857143,beta,378
31,31,Logistic Regression,1.0,1.0,0.8891283871018101,0.8683298683298682,0.9797979797979799,0.962962962962963,beta,378
32,32,Logistic Regression,1.0,1.0,0.8957236818554639,0.8743243243243244,0.9500000000000002,0.9074074074074074,beta,378
33,33,Logistic Regression,1.0,1.0,0.9349494553786722,0.8963585434173669,0.7916666666666666,0.861111111111111,beta,378
34,34,Logistic Regression,1.0,1.0,0.9194517720761023,0.8864265927977838,0.852281746031746,0.8571428571428572,beta,378
35,35,Logistic Regression,1.0,1.0,0.8993596306141216,0.871101871101871,0.9278138528138529,0.888888888888889,beta,378
36,36,Logistic Regression,1.0,1.0,0.912003844314455,0.8864265927977839,0.8857142857142857,0.875,beta,378
37,37,Logistic Regression,1.0,1.0,0.9240005942909477,0.8927125506072875,0.8210884353741494,0.8214285714285714,beta,378
38,38,Logistic Regression,1.0,1.0,0.9008175148010281,0.8725761772853186,0.9617346938775511,0.9642857142857143,beta,378
39,39,Logistic Regression,1.0,1.0,0.9139423231118201,0.879861111111111,1.0,1.0,beta,378
40,40,Logistic Regression,1.0,1.0,0.8985681137515608,0.8749999999999999,0.9674523007856342,0.9444444444444445,beta,378
41,41,Logistic Regression,1.0,1.0,0.8859438248105054,0.8580332409972299,1.0,1.0,beta,378
42,42,Logistic Regression,1.0,1.0,0.8929844495869406,0.8648648648648648,1.0,1.0,beta,378
43,43,Logistic Regression,1.0,1.0,0.9190726516767013,0.9037396121883656,0.8751984126984127,0.8035714285714285,beta,378
44,44,Logistic Regression,1.0,1.0,0.8893114677691591,0.8662508662508662,0.9888888888888889,0.9814814814814815,beta,378
45,45,Logistic Regression,1.0,1.0,0.8947805978878389,0.8677285318559556,0.9999999999999998,1.0,beta,378
46,46,Logistic Regression,1.0,1.0,0.9209007267874033,0.8898891966759002,0.9381313131313131,0.9107142857142857,beta,378
47,47,Logistic Regression,1.0,1.0,0.9166077451566251,0.8884268884268884,0.9367346938775509,0.9285714285714286,beta,378
48,48,Logistic Regression,1.0,1.0,0.9183320943415404,0.8819444444444444,0.7783333333333333,0.86,beta,378
49,49,Logistic Regression,1.0,1.0,0.8976568758843065,0.8875000000000001,0.9293209876543211,0.8518518518518519,beta,378
50,50,Logistic Regression,1.0,1.0,0.9093389667738445,0.8932778932778933,0.9081845238095239,0.8392857142857143,beta,378
51,51,Logistic Regression,1.0,1.0,0.913862997465049,0.8801108801108801,0.8551587301587301,0.8888888888888888,beta,378
52,52,Logistic Regression,1.0,1.0,0.9056586136683198,0.875952875952876,1.0,1.0,beta,378
53,53,Logistic Regression,1.0,1.0,0.9329630499345378,0.901388888888889,0.8333333333333333,0.86,beta,378
54,54,Logistic Regression,1.0,1.0,0.8931808881338215,0.869022869022869,0.9888888888888889,0.9814814814814815,beta,378
55,55,Logistic Regression,1.0,1.0,0.904028561070099,0.8767313019390581,0.9861111111111112,0.9821428571428572,beta,378
56,56,Logistic Regression,1.0,1.0,0.9158032897519043,0.8828828828828829,0.8954648526077098,0.9107142857142857,beta,378
57,57,Logistic Regression,1.0,1.0,0.9146793815075127,0.8981994459833796,0.8863095238095238,0.8035714285714286,beta,378
58,58,Logistic Regression,1.0,1.0,0.9232517599590916,0.9044321329639889,0.8690476190476191,0.8214285714285714,beta,378
59,59,Logistic Regression,1.0,1.0,0.9097143619375708,0.8822714681440442,0.9472222222222222,0.9285714285714286,beta,378
60,60,Logistic Regression,1.0,1.0,0.9222553699030123,0.9092169092169092,0.857521645021645,0.7678571428571428,beta,378
61,61,Logistic Regression,1.0,1.0,0.9050900955272511,0.8752598752598753,0.9999999999999998,1.0,beta,378
62,62,Logistic Regression,1.0,1.0,0.9079131862098291,0.8639455782312925,0.95,0.9772727272727273,beta,378
63,63,Logistic Regression,1.0,1.0,0.9071186498275703,0.8777777777777778,0.8714285714285714,0.8200000000000001,beta,378
64,64,Logistic Regression,1.0,1.0,0.9029371040344274,0.882189882189882,0.9241452991452992,0.875,beta,378
65,65,Logistic Regression,1.0,1.0,0.90364242348372,0.873961218836565,0.8690476190476191,0.875,beta,378
66,66,Logistic Regression,1.0,1.0,0.9145623086586205,0.8988218988218988,0.8769721019721022,0.7777777777777778,beta,378
67,67,Logistic Regression,1.0,1.0,0.9168417768892316,0.8913630229419702,0.9480519480519478,0.9285714285714286,beta,378
68,68,Logistic Regression,1.0,1.0,0.9244249272345386,0.9009695290858726,0.9480519480519478,0.9285714285714286,beta,378
69,69,Logistic Regression,1.0,1.0,0.9031458754488346,0.8746537396121883,0.9682539682539681,0.9642857142857143,beta,378
70,70,Logistic Regression,1.0,1.0,0.917437002894162,0.8856548856548856,0.8773809523809524,0.9074074074074074,beta,378
71,71,Logistic Regression,1.0,1.0,0.9321570433911643,0.9133749133749133,0.7611111111111111,0.7037037037037037,beta,378
72,72,Logistic Regression,1.0,1.0,0.929445829965259,0.9099099099099099,0.7660714285714285,0.7222222222222223,beta,378
73,73,Logistic Regression,1.0,1.0,0.8913105925167972,0.8586278586278587,1.0,1.0,beta,378
74,74,Logistic Regression,1.0,1.0,0.9005667178490941,0.8805555555555555,0.9587412587412588,0.9,beta,378
75,75,Logistic Regression,1.0,1.0,0.893549643568084,0.8649584487534626,0.9999999999999998,1.0,beta,378
76,76,Logistic Regression,1.0,1.0,0.9041019066283538,0.8833333333333333,0.9733333333333333,0.9400000000000001,beta,378
77,77,Logistic Regression,1.0,1.0,0.913620766371713,0.8819444444444444,0.8599999999999999,0.8800000000000001,beta,378
78,78,Logistic Regression,1.0,1.0,0.8797733898190041,0.8599303135888502,1.0,1.0,beta,378
79,79,Logistic Regression,1.0,1.0,0.9037159102396991,0.8760387811634348,0.9415178571428572,0.9285714285714286,beta,378
80,80,Logistic Regression,1.0,1.0,0.9190281886152343,0.887040887040887,0.9095238095238094,0.8928571428571428,beta,378
81,81,Logistic Regression,1.0,1.0,0.8952575770726989,0.8697158697158697,0.9459876543209877,0.9074074074074074,beta,378
82,82,Logistic Regression,1.0,1.0,0.9069745707855656,0.8835758835758835,0.9361111111111113,0.8888888888888888,beta,378
83,83,Logistic Regression,1.0,1.0,0.9267212276555584,0.8972222222222223,0.8444444444444443,0.88,beta,378
84,84,Logistic Regression,1.0,1.0,0.9029094142682339,0.8711201079622133,0.9526289682539683,0.9464285714285715,beta,378
85,85,Logistic Regression,1.0,1.0,0.9326192349271196,0.9293628808864267,0.7537414965986395,0.6428571428571428,beta,378
86,86,Logistic Regression,1.0,1.0,0.919105999852863,0.8891198891198892,0.8806122448979592,0.875,beta,378
87,87,Logistic Regression,1.0,1.0,0.9251941919376817,0.9035087719298246,0.8642857142857143,0.8035714285714285,beta,378
88,88,Logistic Regression,1.0,1.0,0.9187162397777022,0.8815331010452961,0.95,0.9772727272727273,beta,378
89,89,Logistic Regression,1.0,1.0,0.8923064568520269,0.8649584487534625,0.9861111111111112,0.9821428571428572,beta,378
90,90,Logistic Regression,1.0,1.0,0.9345871801787518,0.9131944444444444,0.7968253968253968,0.7592592592592593,beta,378
91,91,Logistic Regression,1.0,1.0,0.9353923938181496,0.9196119196119196,0.8090909090909091,0.7222222222222223,beta,378
92,92,Logistic Regression,1.0,1.0,0.8906183403205095,0.8711911357340719,0.9238095238095236,0.8571428571428571,beta,378
93,93,Logistic Regression,1.0,1.0,0.9033037022020612,0.869022869022869,1.0,1.0,beta,378
94,94,Logistic Regression,1.0,1.0,0.8919183379424145,0.8721088435374149,0.9924242424242424,0.9772727272727273,beta,378
95,95,Logistic Regression,1.0,1.0,0.926574198484948,0.9002079002079002,0.941919191919192,0.8888888888888888,beta,378
96,96,Logistic Regression,1.0,1.0,0.8801436740279059,0.8576388888888888,0.9909090909090909,0.9800000000000001,beta,378
97,97,Logistic Regression,1.0,1.0,0.9025639419458457,0.8746537396121884,0.932426948051948,0.9107142857142857,beta,378
98,98,Logistic Regression,1.0,1.0,0.92048235545683,0.9034722222222221,0.9666666666666667,0.9,beta,378
99,99,Logistic Regression,1.0,1.0,0.913919546214551,0.8909722222222222,0.9073260073260073,0.7599999999999999,beta,378
100,100,Logistic Regression,1.0,1.0,0.9242103987728149,0.907202216066482,0.8863095238095238,0.8035714285714286,beta,378
101,101,Logistic Regression,1.0,1.0,0.9124952484560245,0.8958333333333333,0.9603174603174605,0.9074074074074073,beta,378
102,102,Logistic Regression,1.0,1.0,0.8950101918758018,0.8641718641718642,0.9999999999999998,1.0,beta,378
103,103,Logistic Regression,1.0,1.0,0.9190665483839182,0.8858543417366946,0.7333333333333334,0.6666666666666666,beta,378
104,104,Logistic Regression,1.0,1.0,0.8902897512407538,0.8587257617728532,0.9821428571428572,0.9821428571428571,beta,378
105,105,Logistic Regression,1.0,1.0,0.9135393704346461,0.8891966759002768,0.9123376623376622,0.8928571428571428,beta,378
106,106,Logistic Regression,1.0,1.0,0.8935582298943557,0.8659722222222223,1.0,1.0,beta,378
107,107,Logistic Regression,1.0,1.0,0.9162848169552661,0.8871191135734071,0.8523809523809522,0.8392857142857142,beta,378
108,108,Logistic Regression,1.0,1.0,0.897466102961192,0.8759581881533101,0.9841597796143251,0.9545454545454546,beta,378
109,109,Logistic Regression,1.0,1.0,0.9316837346366813,0.9087108013937283,0.5904761904761905,0.6363636363636364,beta,378
110,110,Logistic Regression,1.0,1.0,0.9240151969250767,0.9009009009009009,0.8856261022927692,0.7962962962962962,beta,378
111,111,Logistic Regression,1.0,1.0,0.920126107149092,0.9134349030470915,0.8613095238095239,0.7321428571428572,beta,378
112,112,Logistic Regression,1.0,1.0,0.8899060780511434,0.8594182825484764,1.0,1.0,beta,378
113,113,Logistic Regression,1.0,1.0,0.9170177345505192,0.8939708939708939,0.8523809523809522,0.7962962962962963,beta,378
114,114,Logistic Regression,1.0,1.0,0.91124842483374,0.8988218988218988,0.9293209876543211,0.8518518518518519,beta,378
115,115,Logistic Regression,1.0,1.0,0.9314244306339362,0.9118055555555555,0.8374999999999999,0.7777777777777779,beta,378
116,116,Logistic Regression,1.0,1.0,0.9060924144187699,0.893970893970894,0.9464285714285714,0.8928571428571429,beta,378
117,117,Logistic Regression,1.0,1.0,0.9072761053203011,0.8863478863478863,0.9598765432098768,0.9259259259259259,beta,378
118,118,Logistic Regression,1.0,1.0,0.9356900927143523,0.9203049203049204,0.8751984126984127,0.8035714285714285,beta,378
119,119,Logistic Regression,1.0,1.0,0.899380845044135,0.8801108801108801,0.9464285714285714,0.8928571428571429,beta,378
120,120,Logistic Regression,1.0,1.0,0.9080162263764412,0.881578947368421,0.9367346938775509,0.9285714285714286,beta,378
121,121,Logistic Regression,1.0,1.0,0.9061981448722325,0.9149825783972125,0.9497835497835498,0.8181818181818182,beta,378
122,122,Logistic Regression,1.0,1.0,0.9122193388758258,0.89375,0.9540404040404039,0.9,beta,378
123,123,Logistic Regression,1.0,1.0,0.8885944435258265,0.8580332409972299,0.9999999999999998,1.0,beta,378
124,124,Logistic Regression,1.0,1.0,0.9226412574595351,0.8947368421052632,0.8867424242424242,0.8392857142857142,beta,378
125,125,Logistic Regression,1.0,1.0,0.89408445569382,0.8634788634788635,0.976190476190476,0.9814814814814814,beta,378
126,126,Logistic Regression,1.0,1.0,0.928860995828956,0.9133749133749134,0.8439474106140774,0.7407407407407407,beta,378
127,127,Logistic Regression,1.0,1.0,0.9120773127405992,0.8944444444444444,0.9133866133866134,0.78,beta,378
128,128,Logistic Regression,1.0,1.0,0.9032751910919503,0.8794178794178794,0.9598765432098768,0.9259259259259259,beta,378
129,129,Logistic Regression,1.0,1.0,0.9198255304528064,0.8911988911988912,0.9379251700680272,0.9464285714285714,beta,378
130,130,Logistic Regression,1.0,1.0,0.9098131834290452,0.8850415512465374,0.9004329004329004,0.875,beta,378
131,131,Logistic Regression,1.0,1.0,0.8882900266817644,0.8648648648648648,0.9797979797979799,0.962962962962963,beta,378
132,132,Logistic Regression,1.0,1.0,0.9095259318589676,0.878808864265928,0.8802579365079366,0.8571428571428572,beta,378
133,133,Logistic Regression,1.0,1.0,0.9093682570447903,0.8795013850415512,0.9206845238095238,0.9107142857142857,beta,378
134,134,Logistic Regression,1.0,1.0,0.9267372292302022,0.9085872576177286,0.8618055555555555,0.7857142857142857,beta,378
135,135,Logistic Regression,1.0,1.0,0.9051683055580004,0.8916666666666666,0.9603174603174605,0.9074074074074073,beta,378
136,136,Logistic Regression,1.0,1.0,0.8983102592009312,0.8569444444444444,1.0,1.0,beta,378
137,137,Logistic Regression,1.0,1.0,0.9331896310428394,0.9238227146814404,0.7842261904761905,0.6785714285714286,beta,378
138,138,Logistic Regression,1.0,1.0,0.9052894194089435,0.8826388888888889,0.9697979797979798,0.9400000000000001,beta,378
139,139,Logistic Regression,1.0,1.0,0.8861331992025385,0.8572418572418572,1.0,1.0,beta,378
140,140,Logistic Regression,1.0,1.0,0.9049687396106516,0.8787248787248788,0.9301146384479719,0.888888888888889,beta,378
141,141,Logistic Regression,1.0,1.0,0.9097535692294598,0.8953568953568953,0.9053230719897387,0.8148148148148148,beta,378
142,142,Logistic Regression,1.0,1.0,0.9142320649762741,0.9023545706371191,0.8428571428571427,0.7678571428571428,beta,378
143,143,Logistic Regression,1.0,1.0,0.8855370322278753,0.8565488565488565,1.0,1.0,beta,378
144,144,Logistic Regression,1.0,1.0,0.8942218005950021,0.8630229419703104,1.0,1.0,beta,378
145,145,Logistic Regression,1.0,1.0,0.9075030424048341,0.8738738738738738,0.9150793650793649,0.9444444444444444,beta,378
146,146,Logistic Regression,1.0,1.0,0.9160677057735934,0.8854166666666666,0.8857142857142857,0.8888888888888888,beta,378
147,147,Logistic Regression,1.0,1.0,0.8783044315081103,0.8527777777777777,1.0,1.0,beta,378
148,148,Logistic Regression,1.0,1.0,0.8971211152512291,0.8697158697158697,0.9861111111111112,0.9821428571428572,beta,378
149,149,Logistic Regression,1.0,1.0,0.9080233133637684,0.8826388888888889,0.8714285714285714,0.8200000000000001,beta,378
150,150,Logistic Regression,1.0,1.0,0.9259820846100928,0.9009009009009009,0.7819444444444444,0.7407407407407409,beta,378
151,151,Logistic Regression,1.0,1.0,0.9048816091839689,0.8773388773388774,0.9376903960237295,0.9074074074074074,beta,378
152,152,Logistic Regression,1.0,1.0,0.8998166557634655,0.8655578655578655,0.976190476190476,0.9814814814814814,beta,378
153,153,Logistic Regression,1.0,1.0,0.9227696443909742,0.8993055555555556,0.876984126984127,0.8333333333333334,beta,378
154,154,Logistic Regression,1.0,1.0,0.9043131451383277,0.8665311653116532,1.0,1.0,beta,378
155,155,Logistic Regression,1.0,1.0,0.9256798507149367,0.9085872576177285,0.888095238095238,0.8214285714285714,beta,378
156,156,Logistic Regression,1.0,1.0,0.9056467966230608,0.8666666666666666,0.9428571428571428,0.9600000000000001,beta,378
157,157,Logistic Regression,1.0,1.0,0.8939321234949641,0.8620928620928621,0.976190476190476,0.9814814814814814,beta,378
158,158,Logistic Regression,1.0,1.0,0.901654402069789,0.8676368676368675,0.9150793650793649,0.9444444444444444,beta,378
159,159,Logistic Regression,1.0,1.0,0.878635516282127,0.8534722222222222,1.0,1.0,beta,378
160,160,Logistic Regression,1.0,1.0,0.9118345636624708,0.8843490304709141,0.9123376623376622,0.8928571428571428,beta,378
161,161,Logistic Regression,1.0,1.0,0.9217060738522109,0.9189189189189189,0.8940476190476192,0.7592592592592593,beta,378
162,162,Logistic Regression,1.0,1.0,0.9216374544171221,0.9062499999999999,0.9153499278499279,0.82,beta,378
163,163,Logistic Regression,1.0,1.0,0.9039168191759156,0.871101871101871,0.9484126984126984,0.9629629629629629,beta,378
164,164,Logistic Regression,1.0,1.0,0.9262402695601861,0.9147609147609148,0.8846881513548182,0.7777777777777778,beta,378
165,165,Logistic Regression,1.0,1.0,0.9093351586786174,0.8814968814968814,0.9467813051146385,0.9259259259259259,beta,378
166,166,Logistic Regression,1.0,1.0,0.9099770322607671,0.8763888888888889,0.9266666666666665,0.96,beta,378
167,167,Logistic Regression,1.0,1.0,0.9001723864681791,0.8725761772853186,0.9526289682539683,0.9464285714285715,beta,378
168,168,Logistic Regression,1.0,1.0,0.904862468938857,0.8760387811634348,0.9367346938775509,0.9285714285714286,beta,378
169,169,Logistic Regression,1.0,1.0,0.9049300117869541,0.8701388888888889,1.0,1.0,beta,378
170,170,Logistic Regression,1.0,1.0,0.9197217958553203,0.8829268292682927,0.95,0.9772727272727273,beta,378
171,171,Logistic Regression,1.0,1.0,0.9050411226238113,0.8704986149584487,1.0,1.0,beta,378
172,172,Logistic Regression,1.0,1.0,0.8993561749775513,0.8711911357340719,1.0,1.0,beta,378
173,173,Logistic Regression,1.0,1.0,0.9055176684173899,0.8828828828828829,0.8999999999999999,0.8333333333333334,beta,378
174,174,Logistic Regression,1.0,1.0,0.8952428244357128,0.8663967611336032,0.9861111111111112,0.9821428571428572,beta,378
175,175,Logistic Regression,1.0,1.0,0.9216961454181494,0.9064449064449065,0.8809523809523809,0.8214285714285714,beta,378
176,176,Logistic Regression,1.0,1.0,0.8935447712243294,0.8711484593837535,1.0,1.0,beta,378
177,177,Logistic Regression,1.0,1.0,0.9249949968294171,0.9006944444444445,0.7766666666666666,0.7600000000000001,beta,378
178,178,Logistic Regression,1.0,1.0,0.9029407554843262,0.8724878724878724,0.976190476190476,0.9814814814814814,beta,378
179,179,Logistic Regression,1.0,1.0,0.9207462458693743,0.902834008097166,0.9308035714285714,0.8749999999999999,beta,378
180,180,Logistic Regression,1.0,1.0,0.9170727823675603,0.8857340720221606,0.9093537414965986,0.9285714285714286,beta,378
181,181,Logistic Regression,1.0,1.0,0.8882995043888746,0.8603238866396761,1.0,1.0,beta,378
182,182,Logistic Regression,1.0,1.0,0.9417057197606815,0.9263888888888888,0.6593406593406593,0.5925925925925927,beta,378
183,183,Logistic Regression,1.0,1.0,0.9080926374575897,0.8815789473684209,0.9340659340659339,0.8928571428571428,beta,378
184,184,Logistic Regression,1.0,1.0,0.8888175474514668,0.8506944444444444,1.0,1.0,beta,378
185,185,Logistic Regression,1.0,1.0,0.9073546812622887,0.8795013850415512,0.9415178571428572,0.9285714285714286,beta,378
186,186,Logistic Regression,1.0,1.0,0.8951709593781836,0.8642659279778393,0.9999999999999998,1.0,beta,378
187,187,Logistic Regression,1.0,1.0,0.9057075214972825,0.8787248787248787,0.9415178571428572,0.9285714285714286,beta,378
188,188,Logistic Regression,1.0,1.0,0.9107536451234792,0.8729166666666666,0.9666666666666666,0.98,beta,378
189,189,Logistic Regression,1.0,1.0,0.9151866321334692,0.8902777777777778,0.8773595848595848,0.78,beta,378
