,bootstrap,feature,importance,model,distribution,seed
0,44,biomarker,-1.5316621285056127,Logistic Regression,beta,357
1,44,Intercept,0.936237562193795,Logistic Regression,beta,357
0,45,biomarker,-1.797804647246049,Logistic Regression,beta,357
1,45,Intercept,1.205902059976304,Logistic Regression,beta,357
0,46,biomarker,-2.556873202912786,Logistic Regression,beta,357
1,46,Intercept,1.6214927062911049,Logistic Regression,beta,357
0,47,biomarker,-1.8977309088733416,Logistic Regression,beta,357
1,47,Intercept,1.2265999054356196,Logistic Regression,beta,357
0,48,biomarker,-2.4270335755212677,Logistic Regression,beta,357
1,48,Intercept,1.6598149482739197,Logistic Regression,beta,357
0,49,biomarker,-1.9567260542314164,Logistic Regression,beta,357
1,49,Intercept,1.1862141180544867,Logistic Regression,beta,357
0,50,biomarker,-1.6234741442603808,Logistic Regression,beta,357
1,50,Intercept,1.0333427329834999,Logistic Regression,beta,357
0,51,biomarker,-2.4069184573939193,Logistic Regression,beta,357
1,51,Intercept,1.621897985472732,Logistic Regression,beta,357
0,52,biomarker,-1.9341044700174612,Logistic Regression,beta,357
1,52,Intercept,1.1881151247757848,Logistic Regression,beta,357
0,53,biomarker,-2.746279784553979,Logistic Regression,beta,357
1,53,Intercept,1.971739763139712,Logistic Regression,beta,357
0,54,biomarker,-1.8168209332154641,Logistic Regression,beta,357
1,54,Intercept,1.0944915300741498,Logistic Regression,beta,357
0,55,biomarker,-1.9924161621563503,Logistic Regression,beta,357
1,55,Intercept,1.2534667521004081,Logistic Regression,beta,357
0,56,biomarker,-1.3091079773374623,Logistic Regression,beta,357
1,56,Intercept,0.8773309627193784,Logistic Regression,beta,357
0,57,biomarker,-1.353747527735622,Logistic Regression,beta,357
1,57,Intercept,0.8380415627516191,Logistic Regression,beta,357
0,58,biomarker,-1.8289387007963962,Logistic Regression,beta,357
1,58,Intercept,1.2075489163895075,Logistic Regression,beta,357
0,59,biomarker,-2.2199183031957284,Logistic Regression,beta,357
1,59,Intercept,1.4498517522773304,Logistic Regression,beta,357
0,60,biomarker,-1.9221078289607738,Logistic Regression,beta,357
1,60,Intercept,1.2024339158635686,Logistic Regression,beta,357
0,61,biomarker,-1.9663123584088456,Logistic Regression,beta,357
1,61,Intercept,1.312220033539912,Logistic Regression,beta,357
0,62,biomarker,-1.8671870613583066,Logistic Regression,beta,357
1,62,Intercept,1.3533922261839577,Logistic Regression,beta,357
0,63,biomarker,-1.7572169190678373,Logistic Regression,beta,357
1,63,Intercept,1.2358315101341852,Logistic Regression,beta,357
0,64,biomarker,-1.9419795003426503,Logistic Regression,beta,357
1,64,Intercept,1.2360035073826061,Logistic Regression,beta,357
0,65,biomarker,-1.7643357812007063,Logistic Regression,beta,357
1,65,Intercept,1.1868194946221602,Logistic Regression,beta,357
0,66,biomarker,-2.1003786563951734,Logistic Regression,beta,357
1,66,Intercept,1.277054332929814,Logistic Regression,beta,357
0,67,biomarker,-2.3903507634306718,Logistic Regression,beta,357
1,67,Intercept,1.5395362825262342,Logistic Regression,beta,357
0,68,biomarker,-2.413378426817464,Logistic Regression,beta,357
1,68,Intercept,1.5675051326912457,Logistic Regression,beta,357
0,69,biomarker,-1.5195108377727764,Logistic Regression,beta,357
1,69,Intercept,0.999480606287523,Logistic Regression,beta,357
0,70,biomarker,-2.1837348333912363,Logistic Regression,beta,357
1,70,Intercept,1.5130556746669592,Logistic Regression,beta,357
0,71,biomarker,-1.6904927560779741,Logistic Regression,beta,357
1,71,Intercept,1.1373687219956168,Logistic Regression,beta,357
0,72,biomarker,-2.354765551161639,Logistic Regression,beta,357
1,72,Intercept,1.626409637187289,Logistic Regression,beta,357
0,73,biomarker,-0.97621591698804,Logistic Regression,beta,357
1,73,Intercept,0.6055979279542918,Logistic Regression,beta,357
0,74,biomarker,-1.3973117585933943,Logistic Regression,beta,357
1,74,Intercept,0.78328058077818,Logistic Regression,beta,357
0,75,biomarker,-1.43904552067731,Logistic Regression,beta,357
1,75,Intercept,0.9570180322860199,Logistic Regression,beta,357
0,76,biomarker,-1.0185132275410753,Logistic Regression,beta,357
1,76,Intercept,0.5481488763185778,Logistic Regression,beta,357
0,77,biomarker,-2.1653868345580727,Logistic Regression,beta,357
1,77,Intercept,1.5540623839995482,Logistic Regression,beta,357
0,78,biomarker,-1.675129861691111,Logistic Regression,beta,357
1,78,Intercept,0.9473517562082401,Logistic Regression,beta,357
0,79,biomarker,-1.507665332386209,Logistic Regression,beta,357
1,79,Intercept,0.9530959664763418,Logistic Regression,beta,357
0,80,biomarker,-2.285624724646954,Logistic Regression,beta,357
1,80,Intercept,1.5031764095301914,Logistic Regression,beta,357
0,81,biomarker,-2.513861710360412,Logistic Regression,beta,357
1,81,Intercept,1.5774237062728653,Logistic Regression,beta,357
0,82,biomarker,-1.2078214844114572,Logistic Regression,beta,357
1,82,Intercept,0.7009039269253104,Logistic Regression,beta,357
0,83,biomarker,-2.4020931257486415,Logistic Regression,beta,357
1,83,Intercept,1.6717411701772846,Logistic Regression,beta,357
0,84,biomarker,-1.2823593951822203,Logistic Regression,beta,357
1,84,Intercept,0.7945144602629067,Logistic Regression,beta,357
0,85,biomarker,-1.6551016451481915,Logistic Regression,beta,357
1,85,Intercept,1.0858658586447592,Logistic Regression,beta,357
0,86,biomarker,-1.726279609725887,Logistic Regression,beta,357
1,86,Intercept,1.157482888840782,Logistic Regression,beta,357
0,87,biomarker,-1.7236591480723875,Logistic Regression,beta,357
1,87,Intercept,1.15245079882607,Logistic Regression,beta,357
0,88,biomarker,-1.27464954548845,Logistic Regression,beta,357
1,88,Intercept,0.9884614794431363,Logistic Regression,beta,357
0,89,biomarker,-2.1654538936232424,Logistic Regression,beta,357
1,89,Intercept,1.3647653715931134,Logistic Regression,beta,357
0,90,biomarker,-2.2702376484834703,Logistic Regression,beta,357
1,90,Intercept,1.5443085484663723,Logistic Regression,beta,357
0,91,biomarker,-1.7392740326219214,Logistic Regression,beta,357
1,91,Intercept,1.1744840802680194,Logistic Regression,beta,357
0,92,biomarker,-1.7900013265054162,Logistic Regression,beta,357
1,92,Intercept,1.1874238401449948,Logistic Regression,beta,357
0,93,biomarker,-1.5927051316078658,Logistic Regression,beta,357
1,93,Intercept,1.1191152970076672,Logistic Regression,beta,357
0,94,biomarker,-2.8273797294552545,Logistic Regression,beta,357
1,94,Intercept,1.6414612819363887,Logistic Regression,beta,357
0,95,biomarker,-1.9359613228153452,Logistic Regression,beta,357
1,95,Intercept,1.1614203219277588,Logistic Regression,beta,357
0,96,biomarker,-1.156468919793494,Logistic Regression,beta,357
1,96,Intercept,0.6192512597199918,Logistic Regression,beta,357
0,97,biomarker,-1.0086852721251118,Logistic Regression,beta,357
1,97,Intercept,0.6252491195664915,Logistic Regression,beta,357
0,98,biomarker,-2.637360306983393,Logistic Regression,beta,357
1,98,Intercept,1.5785806250217609,Logistic Regression,beta,357
0,99,biomarker,-2.152160131822454,Logistic Regression,beta,357
1,99,Intercept,1.2850519875379056,Logistic Regression,beta,357
0,100,biomarker,-1.5292518483157005,Logistic Regression,beta,357
1,100,Intercept,0.9717170736064323,Logistic Regression,beta,357
0,101,biomarker,-1.372940021086067,Logistic Regression,beta,357
1,101,Intercept,0.8163401879741662,Logistic Regression,beta,357
0,102,biomarker,-1.6602277865966295,Logistic Regression,beta,357
1,102,Intercept,1.0902089604188894,Logistic Regression,beta,357
0,103,biomarker,-2.1777898346227826,Logistic Regression,beta,357
1,103,Intercept,1.6543825836662476,Logistic Regression,beta,357
0,104,biomarker,-1.3482766351223296,Logistic Regression,beta,357
1,104,Intercept,0.9022012301132005,Logistic Regression,beta,357
0,105,biomarker,-1.8220241421248418,Logistic Regression,beta,357
1,105,Intercept,1.2008793930699593,Logistic Regression,beta,357
0,106,biomarker,-2.1385159240607683,Logistic Regression,beta,357
1,106,Intercept,1.2686634193936288,Logistic Regression,beta,357
0,107,biomarker,-1.1664482510562377,Logistic Regression,beta,357
1,107,Intercept,0.7706227792405052,Logistic Regression,beta,357
0,108,biomarker,-1.528517079931044,Logistic Regression,beta,357
1,108,Intercept,0.8428647940359483,Logistic Regression,beta,357
0,109,biomarker,-0.7202731503124103,Logistic Regression,beta,357
1,109,Intercept,0.6160802162106789,Logistic Regression,beta,357
0,110,biomarker,-2.0190592957664775,Logistic Regression,beta,357
1,110,Intercept,1.2158614035273176,Logistic Regression,beta,357
0,111,biomarker,-1.6493616391295627,Logistic Regression,beta,357
1,111,Intercept,1.0558396849229994,Logistic Regression,beta,357
0,112,biomarker,-1.2110728120840175,Logistic Regression,beta,357
1,112,Intercept,0.7712482375544893,Logistic Regression,beta,357
0,113,biomarker,-1.8932125385225413,Logistic Regression,beta,357
1,113,Intercept,1.2883153987671065,Logistic Regression,beta,357
0,114,biomarker,-1.4959733151900034,Logistic Regression,beta,357
1,114,Intercept,0.9200102103584707,Logistic Regression,beta,357
0,115,biomarker,-3.1512720020479263,Logistic Regression,beta,357
1,115,Intercept,2.166281854462322,Logistic Regression,beta,357
0,116,biomarker,-1.8200900442964891,Logistic Regression,beta,357
1,116,Intercept,1.1471751789379552,Logistic Regression,beta,357
0,117,biomarker,-2.2659499935116436,Logistic Regression,beta,357
1,117,Intercept,1.3689702825256458,Logistic Regression,beta,357
0,118,biomarker,-2.2261834751894876,Logistic Regression,beta,357
1,118,Intercept,1.4243034357289561,Logistic Regression,beta,357
0,119,biomarker,-1.6855400727438095,Logistic Regression,beta,357
1,119,Intercept,1.098896586645566,Logistic Regression,beta,357
0,120,biomarker,-1.7912126478362151,Logistic Regression,beta,357
1,120,Intercept,1.195487824110979,Logistic Regression,beta,357
0,121,biomarker,-1.949746903814516,Logistic Regression,beta,357
1,121,Intercept,1.0707720671744103,Logistic Regression,beta,357
0,122,biomarker,-1.888694711644564,Logistic Regression,beta,357
1,122,Intercept,1.1265632433628594,Logistic Regression,beta,357
0,123,biomarker,-2.331592804832521,Logistic Regression,beta,357
1,123,Intercept,1.539683115928362,Logistic Regression,beta,357
0,124,biomarker,-1.950276034426991,Logistic Regression,beta,357
1,124,Intercept,1.2216092103849021,Logistic Regression,beta,357
0,125,biomarker,-2.0057173487800664,Logistic Regression,beta,357
1,125,Intercept,1.3995094789557285,Logistic Regression,beta,357
0,126,biomarker,-1.8212747520337131,Logistic Regression,beta,357
1,126,Intercept,1.0968249976175501,Logistic Regression,beta,357
0,127,biomarker,-1.9492631494779342,Logistic Regression,beta,357
1,127,Intercept,1.1382136788206425,Logistic Regression,beta,357
0,128,biomarker,-1.805923311194927,Logistic Regression,beta,357
1,128,Intercept,1.0948577032973317,Logistic Regression,beta,357
0,129,biomarker,-1.3101555858236744,Logistic Regression,beta,357
1,129,Intercept,0.8803659470328175,Logistic Regression,beta,357
0,130,biomarker,-1.801272911546801,Logistic Regression,beta,357
1,130,Intercept,1.218754426962831,Logistic Regression,beta,357
0,131,biomarker,-2.1904165417411683,Logistic Regression,beta,357
1,131,Intercept,1.3667076290194216,Logistic Regression,beta,357
0,132,biomarker,-1.3482141295540917,Logistic Regression,beta,357
1,132,Intercept,0.8830163471435618,Logistic Regression,beta,357
0,133,biomarker,-1.993048419526924,Logistic Regression,beta,357
1,133,Intercept,1.2899864593569512,Logistic Regression,beta,357
0,134,biomarker,-1.8906934331485368,Logistic Regression,beta,357
1,134,Intercept,1.2040158050443246,Logistic Regression,beta,357
0,135,biomarker,-1.3930283533108745,Logistic Regression,beta,357
1,135,Intercept,0.816272199361773,Logistic Regression,beta,357
0,136,biomarker,-1.1665995693972293,Logistic Regression,beta,357
1,136,Intercept,0.8719420865155914,Logistic Regression,beta,357
0,137,biomarker,-1.944202541859103,Logistic Regression,beta,357
1,137,Intercept,1.2396899631233165,Logistic Regression,beta,357
0,138,biomarker,-1.4681791732249045,Logistic Regression,beta,357
1,138,Intercept,0.8389604542856464,Logistic Regression,beta,357
0,139,biomarker,-1.7896027287850225,Logistic Regression,beta,357
1,139,Intercept,1.1385752169243062,Logistic Regression,beta,357
0,140,biomarker,-1.27940970141913,Logistic Regression,beta,357
1,140,Intercept,0.759606326517439,Logistic Regression,beta,357
0,141,biomarker,-1.7706815470252233,Logistic Regression,beta,357
1,141,Intercept,1.0809993959595545,Logistic Regression,beta,357
0,142,biomarker,-2.0680670090200644,Logistic Regression,beta,357
1,142,Intercept,1.3487353429691706,Logistic Regression,beta,357
0,143,biomarker,-1.846277429619222,Logistic Regression,beta,357
1,143,Intercept,1.1960203840326586,Logistic Regression,beta,357
0,144,biomarker,-1.6154527039740196,Logistic Regression,beta,357
1,144,Intercept,1.0180535595950058,Logistic Regression,beta,357
0,145,biomarker,-1.28555487469483,Logistic Regression,beta,357
1,145,Intercept,0.8880987227943976,Logistic Regression,beta,357
0,146,biomarker,-1.279491474302976,Logistic Regression,beta,357
1,146,Intercept,0.8867911009666476,Logistic Regression,beta,357
