,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,6.054448093896083,Logistic Regression,beta,331
1,0,Intercept,-2.918951887733483,Logistic Regression,beta,331
0,1,biomarker,5.5332436884572695,Logistic Regression,beta,331
1,1,Intercept,-2.59981735126156,Logistic Regression,beta,331
0,2,biomarker,5.003698487440881,Logistic Regression,beta,331
1,2,Intercept,-2.6348292797402664,Logistic Regression,beta,331
0,3,biomarker,6.3088754494875285,Logistic Regression,beta,331
1,3,Intercept,-2.997190999783577,Logistic Regression,beta,331
0,4,biomarker,5.746441472266668,Logistic Regression,beta,331
1,4,Intercept,-2.9789604949344515,Logistic Regression,beta,331
0,5,biomarker,5.723609496627595,Logistic Regression,beta,331
1,5,Intercept,-3.0512011793664673,Logistic Regression,beta,331
0,6,biomarker,5.155980279636413,Logistic Regression,beta,331
1,6,Intercept,-2.7374054691711183,Logistic Regression,beta,331
0,7,biomarker,5.633933139426477,Logistic Regression,beta,331
1,7,Intercept,-2.789615843112755,Logistic Regression,beta,331
0,8,biomarker,5.890246177222252,Logistic Regression,beta,331
1,8,Intercept,-3.311123141752123,Logistic Regression,beta,331
0,9,biomarker,6.072827148694284,Logistic Regression,beta,331
1,9,Intercept,-3.2406807620973073,Logistic Regression,beta,331
0,10,biomarker,6.040149875407471,Logistic Regression,beta,331
1,10,Intercept,-3.1625096677314306,Logistic Regression,beta,331
0,11,biomarker,6.048959749025849,Logistic Regression,beta,331
1,11,Intercept,-3.3093644517276424,Logistic Regression,beta,331
0,12,biomarker,5.087920594265925,Logistic Regression,beta,331
1,12,Intercept,-2.7718210548735147,Logistic Regression,beta,331
0,13,biomarker,5.435104298736521,Logistic Regression,beta,331
1,13,Intercept,-3.07309704301562,Logistic Regression,beta,331
0,14,biomarker,5.3048345530723635,Logistic Regression,beta,331
1,14,Intercept,-2.636304412146214,Logistic Regression,beta,331
0,15,biomarker,5.6032313286305815,Logistic Regression,beta,331
1,15,Intercept,-2.8261741026166805,Logistic Regression,beta,331
0,16,biomarker,6.320088505511503,Logistic Regression,beta,331
1,16,Intercept,-3.5470857489979166,Logistic Regression,beta,331
0,17,biomarker,5.394694882419846,Logistic Regression,beta,331
1,17,Intercept,-2.7521146897454396,Logistic Regression,beta,331
0,18,biomarker,5.638503020333086,Logistic Regression,beta,331
1,18,Intercept,-2.8699879773463413,Logistic Regression,beta,331
0,19,biomarker,4.741739350993819,Logistic Regression,beta,331
1,19,Intercept,-2.453161397531376,Logistic Regression,beta,331
0,20,biomarker,5.179066452532996,Logistic Regression,beta,331
1,20,Intercept,-2.5945447610335597,Logistic Regression,beta,331
0,21,biomarker,5.690547341760615,Logistic Regression,beta,331
1,21,Intercept,-3.1445191180455434,Logistic Regression,beta,331
0,22,biomarker,5.797313163304145,Logistic Regression,beta,331
1,22,Intercept,-2.8643660527525427,Logistic Regression,beta,331
0,23,biomarker,5.2441188679107915,Logistic Regression,beta,331
1,23,Intercept,-2.6286407133856247,Logistic Regression,beta,331
0,24,biomarker,5.715147068825171,Logistic Regression,beta,331
1,24,Intercept,-2.857423361406106,Logistic Regression,beta,331
0,25,biomarker,5.207012290252329,Logistic Regression,beta,331
1,25,Intercept,-2.5431645290148492,Logistic Regression,beta,331
0,26,biomarker,4.961553393450617,Logistic Regression,beta,331
1,26,Intercept,-2.5431708446742416,Logistic Regression,beta,331
0,27,biomarker,6.252764757320877,Logistic Regression,beta,331
1,27,Intercept,-3.0337340256907965,Logistic Regression,beta,331
0,28,biomarker,5.798193141757994,Logistic Regression,beta,331
1,28,Intercept,-2.8966214539121466,Logistic Regression,beta,331
0,29,biomarker,4.933241540429702,Logistic Regression,beta,331
1,29,Intercept,-2.545220683937089,Logistic Regression,beta,331
0,30,biomarker,4.807091182363226,Logistic Regression,beta,331
1,30,Intercept,-2.345658823125471,Logistic Regression,beta,331
0,31,biomarker,5.833457682573371,Logistic Regression,beta,331
1,31,Intercept,-3.010791431949526,Logistic Regression,beta,331
0,32,biomarker,4.934167437248727,Logistic Regression,beta,331
1,32,Intercept,-2.535670312697756,Logistic Regression,beta,331
0,33,biomarker,5.861938427813448,Logistic Regression,beta,331
1,33,Intercept,-3.0352972129488696,Logistic Regression,beta,331
0,34,biomarker,6.099184161943003,Logistic Regression,beta,331
1,34,Intercept,-3.0280520264573108,Logistic Regression,beta,331
0,35,biomarker,5.182547143018403,Logistic Regression,beta,331
1,35,Intercept,-2.641998223266835,Logistic Regression,beta,331
0,36,biomarker,5.251885259127136,Logistic Regression,beta,331
1,36,Intercept,-2.6587434540818093,Logistic Regression,beta,331
0,37,biomarker,5.311985650087563,Logistic Regression,beta,331
1,37,Intercept,-2.6579376848517464,Logistic Regression,beta,331
0,38,biomarker,5.526312090154851,Logistic Regression,beta,331
1,38,Intercept,-2.8015745870956317,Logistic Regression,beta,331
0,39,biomarker,5.307002604859866,Logistic Regression,beta,331
1,39,Intercept,-2.6440431775438453,Logistic Regression,beta,331
0,40,biomarker,5.39187383176062,Logistic Regression,beta,331
1,40,Intercept,-3.0271716504164923,Logistic Regression,beta,331
0,41,biomarker,5.44034597360766,Logistic Regression,beta,331
1,41,Intercept,-2.7922018036138705,Logistic Regression,beta,331
0,42,biomarker,4.883660741519555,Logistic Regression,beta,331
1,42,Intercept,-2.483650592746583,Logistic Regression,beta,331
0,43,biomarker,4.794927503778757,Logistic Regression,beta,331
1,43,Intercept,-2.4555648716624616,Logistic Regression,beta,331
0,44,biomarker,5.325825209627137,Logistic Regression,beta,331
1,44,Intercept,-2.704296597410098,Logistic Regression,beta,331
0,45,biomarker,5.815166080733482,Logistic Regression,beta,331
1,45,Intercept,-3.1623560948312908,Logistic Regression,beta,331
0,46,biomarker,6.047768883955961,Logistic Regression,beta,331
1,46,Intercept,-2.9015632843090304,Logistic Regression,beta,331
0,47,biomarker,5.192453992572752,Logistic Regression,beta,331
1,47,Intercept,-2.6614415766896666,Logistic Regression,beta,331
0,48,biomarker,5.487371267071871,Logistic Regression,beta,331
1,48,Intercept,-2.8668952931675076,Logistic Regression,beta,331
0,49,biomarker,5.739172826012715,Logistic Regression,beta,331
1,49,Intercept,-3.0216085430099446,Logistic Regression,beta,331
0,50,biomarker,6.072081638620386,Logistic Regression,beta,331
1,50,Intercept,-3.049104058710892,Logistic Regression,beta,331
0,51,biomarker,5.399875026023543,Logistic Regression,beta,331
1,51,Intercept,-2.6869073486748185,Logistic Regression,beta,331
0,52,biomarker,5.550059545953052,Logistic Regression,beta,331
1,52,Intercept,-2.8220926318246344,Logistic Regression,beta,331
0,53,biomarker,5.650828486363432,Logistic Regression,beta,331
1,53,Intercept,-2.7724372478743886,Logistic Regression,beta,331
0,54,biomarker,5.241345791342597,Logistic Regression,beta,331
1,54,Intercept,-2.7503760122067584,Logistic Regression,beta,331
0,55,biomarker,5.23246022178041,Logistic Regression,beta,331
1,55,Intercept,-2.6624715717359697,Logistic Regression,beta,331
0,56,biomarker,4.728903487062536,Logistic Regression,beta,331
1,56,Intercept,-2.358927495447185,Logistic Regression,beta,331
0,57,biomarker,6.793276234632245,Logistic Regression,beta,331
1,57,Intercept,-3.561008787612321,Logistic Regression,beta,331
0,58,biomarker,6.153551384135296,Logistic Regression,beta,331
1,58,Intercept,-3.0538218020983723,Logistic Regression,beta,331
0,59,biomarker,5.616431482860622,Logistic Regression,beta,331
1,59,Intercept,-2.81615909331682,Logistic Regression,beta,331
0,60,biomarker,5.414631671952436,Logistic Regression,beta,331
1,60,Intercept,-2.791158697204132,Logistic Regression,beta,331
0,61,biomarker,5.309861219952671,Logistic Regression,beta,331
1,61,Intercept,-2.732317404034889,Logistic Regression,beta,331
0,62,biomarker,5.260276501825378,Logistic Regression,beta,331
1,62,Intercept,-2.7472863961798475,Logistic Regression,beta,331
0,63,biomarker,4.916639857831561,Logistic Regression,beta,331
1,63,Intercept,-2.3679411574703635,Logistic Regression,beta,331
0,64,biomarker,5.6338991713826125,Logistic Regression,beta,331
1,64,Intercept,-2.945511312409499,Logistic Regression,beta,331
0,65,biomarker,4.666811548491146,Logistic Regression,beta,331
1,65,Intercept,-2.255088660973035,Logistic Regression,beta,331
0,66,biomarker,5.2278391968166025,Logistic Regression,beta,331
1,66,Intercept,-2.6976311415659655,Logistic Regression,beta,331
0,67,biomarker,5.636927518610953,Logistic Regression,beta,331
1,67,Intercept,-2.8463279339774896,Logistic Regression,beta,331
0,68,biomarker,5.510642546150309,Logistic Regression,beta,331
1,68,Intercept,-2.6704476746964416,Logistic Regression,beta,331
0,69,biomarker,5.07632686345528,Logistic Regression,beta,331
1,69,Intercept,-2.5738337589869706,Logistic Regression,beta,331
0,70,biomarker,7.185630540314518,Logistic Regression,beta,331
1,70,Intercept,-3.9119203260160074,Logistic Regression,beta,331
0,71,biomarker,4.931987433027929,Logistic Regression,beta,331
1,71,Intercept,-2.4513291669136357,Logistic Regression,beta,331
0,72,biomarker,5.982541689298642,Logistic Regression,beta,331
1,72,Intercept,-3.1751147313817536,Logistic Regression,beta,331
0,73,biomarker,5.030712111560229,Logistic Regression,beta,331
1,73,Intercept,-2.5923354172564377,Logistic Regression,beta,331
0,74,biomarker,5.147765970997718,Logistic Regression,beta,331
1,74,Intercept,-2.714365697103795,Logistic Regression,beta,331
0,75,biomarker,5.744996848842565,Logistic Regression,beta,331
1,75,Intercept,-2.8780118986653997,Logistic Regression,beta,331
0,76,biomarker,5.6091535122670555,Logistic Regression,beta,331
1,76,Intercept,-2.8819699003727672,Logistic Regression,beta,331
0,77,biomarker,6.985682899250709,Logistic Regression,beta,331
1,77,Intercept,-3.630090395476716,Logistic Regression,beta,331
0,78,biomarker,6.149978350425131,Logistic Regression,beta,331
1,78,Intercept,-3.242540859601225,Logistic Regression,beta,331
0,79,biomarker,5.08614166803677,Logistic Regression,beta,331
1,79,Intercept,-2.595062904795622,Logistic Regression,beta,331
0,80,biomarker,5.457207562803855,Logistic Regression,beta,331
1,80,Intercept,-2.6301528906254186,Logistic Regression,beta,331
0,81,biomarker,5.274366256795259,Logistic Regression,beta,331
1,81,Intercept,-2.7435330457568003,Logistic Regression,beta,331
0,82,biomarker,5.15702461018133,Logistic Regression,beta,331
