,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
128,128,Logistic Regression,1.0,1.0,0.9475395900879473,0.9431739431739432,0.9282627865961199,0.9074074074074074,beta,17
129,129,Logistic Regression,1.0,1.0,0.9607690881171341,0.9556479556479557,0.9821428571428572,0.9821428571428571,beta,17
130,130,Logistic Regression,1.0,1.0,0.9571522814647063,0.952875952875953,0.9617346938775511,0.9642857142857143,beta,17
131,131,Logistic Regression,1.0,1.0,0.9579461580853472,0.9584199584199584,0.9328843995510663,0.888888888888889,beta,17
132,132,Logistic Regression,1.0,1.0,0.9518522954300743,0.9501039501039501,0.9861111111111112,0.9821428571428572,beta,17
133,133,Logistic Regression,1.0,1.0,0.9482234927275667,0.9445983379501386,0.9861111111111112,0.9821428571428572,beta,17
134,134,Logistic Regression,1.0,1.0,0.9730996128009801,0.9709141274238227,0.9115936147186148,0.8928571428571428,beta,17
135,135,Logistic Regression,1.0,1.0,0.9306539738738348,0.9319444444444445,1.0,1.0,beta,17
136,136,Logistic Regression,1.0,1.0,0.9647486384497652,0.95625,0.9028571428571428,0.9400000000000001,beta,17
137,137,Logistic Regression,1.0,1.0,0.9505247383053166,0.9459459459459459,1.0,1.0,beta,17
138,138,Logistic Regression,1.0,1.0,0.9538637571966115,0.9548611111111112,0.9909090909090909,0.9800000000000001,beta,17
139,139,Logistic Regression,1.0,1.0,0.9404707144184081,0.9376299376299377,1.0,1.0,beta,17
140,140,Logistic Regression,1.0,1.0,0.9592363621154762,0.9598059598059598,0.9535634118967453,0.925925925925926,beta,17
141,141,Logistic Regression,1.0,1.0,0.9588326882480354,0.9577269577269578,0.9888888888888889,0.9814814814814815,beta,17
142,142,Logistic Regression,1.0,1.0,0.9451944193159872,0.9418282548476454,0.9999999999999998,1.0,beta,17
143,143,Logistic Regression,1.0,1.0,0.9488639195206479,0.9438669438669438,0.9526289682539683,0.9464285714285715,beta,17
144,144,Logistic Regression,1.0,1.0,0.9560491308229829,0.9529085872576177,0.9704861111111112,0.9642857142857143,beta,17
145,145,Logistic Regression,1.0,1.0,0.9569239443651579,0.9521829521829522,0.976190476190476,0.9814814814814814,beta,17
146,146,Logistic Regression,1.0,1.0,0.9560031557025159,0.952875952875953,0.9583333333333334,0.962962962962963,beta,17
147,147,Logistic Regression,1.0,1.0,0.9396295530465992,0.9402777777777778,1.0,1.0,beta,17
148,148,Logistic Regression,1.0,1.0,0.9492763212684754,0.9445983379501386,0.9861111111111112,0.9821428571428572,beta,17
149,149,Logistic Regression,1.0,1.0,0.9670222966599484,0.9590277777777778,0.8766666666666667,0.9400000000000001,beta,17
150,150,Logistic Regression,1.0,1.0,0.957182737941326,0.95,0.9484126984126984,0.9629629629629629,beta,17
151,151,Logistic Regression,1.0,1.0,0.955525416086076,0.9556479556479557,0.9797979797979799,0.962962962962963,beta,17
152,152,Logistic Regression,1.0,1.0,0.9484844168400653,0.9459459459459459,1.0,1.0,beta,17
153,153,Logistic Regression,1.0,1.0,0.9573780010366327,0.9479166666666666,0.976190476190476,0.9814814814814814,beta,17
154,154,Logistic Regression,1.0,1.0,0.9564707268775929,0.9472222222222222,1.0,1.0,beta,17
155,155,Logistic Regression,1.0,1.0,0.9719674412450565,0.9695290858725762,0.8523809523809522,0.8392857142857142,beta,17
156,156,Logistic Regression,1.0,1.0,0.9573565928077494,0.9493055555555556,0.9428571428571428,0.9600000000000001,beta,17
157,157,Logistic Regression,1.0,1.0,0.9444810990855041,0.9376299376299377,1.0,1.0,beta,17
158,158,Logistic Regression,1.0,1.0,0.9518583679263489,0.9459459459459458,0.976190476190476,0.9814814814814814,beta,17
159,159,Logistic Regression,1.0,1.0,0.953186297874727,0.954861111111111,0.9797979797979799,0.962962962962963,beta,17
160,160,Logistic Regression,1.0,1.0,0.950720849754687,0.9452908587257618,0.9999999999999998,1.0,beta,17
161,161,Logistic Regression,1.0,1.0,0.9498366597482089,0.9480249480249481,0.9626543209876544,0.9444444444444444,beta,17
162,162,Logistic Regression,1.0,1.0,0.9563084155912033,0.9569444444444444,1.0,1.0,beta,17
163,163,Logistic Regression,1.0,1.0,0.9471774122480104,0.9404019404019404,1.0,1.0,beta,17
