,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.6405126367146854,beta,458
1,Logistic Regression,roc_auc,1,0.6632579985677194,beta,458
2,Logistic Regression,roc_auc,2,0.6648469621542054,beta,458
3,Logistic Regression,roc_auc,3,0.6560788876720901,beta,458
4,Logistic Regression,roc_auc,4,0.6530153543895616,beta,458
5,Logistic Regression,roc_auc,5,0.6734081494460817,beta,458
6,Logistic Regression,roc_auc,6,0.6627375178671749,beta,458
7,Logistic Regression,roc_auc,7,0.6434186016225761,beta,458
8,Logistic Regression,roc_auc,8,0.6672968527738266,beta,458
9,Logistic Regression,roc_auc,9,0.6376493974274102,beta,458
10,Logistic Regression,roc_auc,10,0.6713407057515977,beta,458
11,Logistic Regression,roc_auc,11,0.648497597329062,beta,458
12,Logistic Regression,roc_auc,12,0.6499737049288478,beta,458
13,Logistic Regression,roc_auc,13,0.6540766008511205,beta,458
14,Logistic Regression,roc_auc,14,0.6642559903572947,beta,458
15,Logistic Regression,roc_auc,15,0.6536783742041579,beta,458
16,Logistic Regression,roc_auc,16,0.6344940764367489,beta,458
17,Logistic Regression,roc_auc,17,0.6437366642958748,beta,458
18,Logistic Regression,roc_auc,18,0.6566449948625241,beta,458
19,Logistic Regression,roc_auc,19,0.6499665057371427,beta,458
20,Logistic Regression,roc_auc,20,0.6527368490817564,beta,458
21,Logistic Regression,roc_auc,21,0.661396437324965,beta,458
22,Logistic Regression,roc_auc,22,0.6570110344367771,beta,458
23,Logistic Regression,roc_auc,23,0.6649726976501074,beta,458
24,Logistic Regression,roc_auc,24,0.6515937019969278,beta,458
25,Logistic Regression,roc_auc,25,0.6563657909522149,beta,458
26,Logistic Regression,roc_auc,26,0.6550601290485684,beta,458
27,Logistic Regression,roc_auc,27,0.64548092723409,beta,458
28,Logistic Regression,roc_auc,28,0.6542341724922456,beta,458
29,Logistic Regression,roc_auc,29,0.6579893341584333,beta,458
30,Logistic Regression,roc_auc,30,0.6309103734023029,beta,458
31,Logistic Regression,roc_auc,31,0.6450627778155569,beta,458
32,Logistic Regression,roc_auc,32,0.6661849794512233,beta,458
33,Logistic Regression,roc_auc,33,0.6465682428357166,beta,458
