,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,-3.1098686732441316,Logistic Regression,beta,220
1,0,Intercept,1.8683722087256125,Logistic Regression,beta,220
0,1,biomarker,-4.166765005469056,Logistic Regression,beta,220
1,1,Intercept,2.874046456214573,Logistic Regression,beta,220
0,2,biomarker,-3.3983165692151847,Logistic Regression,beta,220
1,2,Intercept,1.7602245110650399,Logistic Regression,beta,220
0,3,biomarker,-4.302931074948369,Logistic Regression,beta,220
1,3,Intercept,2.804896245776322,Logistic Regression,beta,220
0,4,biomarker,-2.703880610699499,Logistic Regression,beta,220
1,4,Intercept,1.3648361240837665,Logistic Regression,beta,220
0,5,biomarker,-4.404177333247535,Logistic Regression,beta,220
1,5,Intercept,2.592435375712616,Logistic Regression,beta,220
0,6,biomarker,-4.061976370735832,Logistic Regression,beta,220
1,6,Intercept,2.480209106501922,Logistic Regression,beta,220
0,7,biomarker,-4.245447634573757,Logistic Regression,beta,220
1,7,Intercept,2.700199133621489,Logistic Regression,beta,220
0,8,biomarker,-4.278005059005696,Logistic Regression,beta,220
1,8,Intercept,2.5794546490093815,Logistic Regression,beta,220
0,9,biomarker,-4.203970452823661,Logistic Regression,beta,220
1,9,Intercept,2.467451696254084,Logistic Regression,beta,220
0,10,biomarker,-2.8942095610786964,Logistic Regression,beta,220
1,10,Intercept,1.4952134109774284,Logistic Regression,beta,220
0,11,biomarker,-4.252032851196479,Logistic Regression,beta,220
1,11,Intercept,2.7033205235785145,Logistic Regression,beta,220
0,12,biomarker,-4.108306696108075,Logistic Regression,beta,220
1,12,Intercept,2.440169346571068,Logistic Regression,beta,220
0,13,biomarker,-4.208635986247613,Logistic Regression,beta,220
1,13,Intercept,2.520924542981517,Logistic Regression,beta,220
0,14,biomarker,-3.1501917713390775,Logistic Regression,beta,220
1,14,Intercept,1.7758840262462807,Logistic Regression,beta,220
0,15,biomarker,-4.0631599788069765,Logistic Regression,beta,220
1,15,Intercept,2.5604584371628345,Logistic Regression,beta,220
0,16,biomarker,-3.813136636372966,Logistic Regression,beta,220
1,16,Intercept,2.3957533229587322,Logistic Regression,beta,220
0,17,biomarker,-3.9990309042214673,Logistic Regression,beta,220
1,17,Intercept,2.498841215531789,Logistic Regression,beta,220
0,18,biomarker,-2.872260337673878,Logistic Regression,beta,220
1,18,Intercept,1.4777919559539061,Logistic Regression,beta,220
0,19,biomarker,-3.1319845580118844,Logistic Regression,beta,220
1,19,Intercept,1.6920713809805463,Logistic Regression,beta,220
0,20,biomarker,-3.5100145316642744,Logistic Regression,beta,220
1,20,Intercept,1.904279260426979,Logistic Regression,beta,220
0,21,biomarker,-4.2249332133069055,Logistic Regression,beta,220
1,21,Intercept,2.605191387996153,Logistic Regression,beta,220
0,22,biomarker,-3.3534024556090385,Logistic Regression,beta,220
1,22,Intercept,1.8357805683829622,Logistic Regression,beta,220
0,23,biomarker,-3.79481656426229,Logistic Regression,beta,220
1,23,Intercept,2.461536645115574,Logistic Regression,beta,220
0,24,biomarker,-4.6819068038374345,Logistic Regression,beta,220
1,24,Intercept,2.98633274590264,Logistic Regression,beta,220
0,25,biomarker,-3.604167939377548,Logistic Regression,beta,220
1,25,Intercept,2.3470356869907287,Logistic Regression,beta,220
0,26,biomarker,-4.265092535650245,Logistic Regression,beta,220
1,26,Intercept,2.6053827113315378,Logistic Regression,beta,220
0,27,biomarker,-4.086341258751231,Logistic Regression,beta,220
1,27,Intercept,2.6665990475364287,Logistic Regression,beta,220
0,28,biomarker,-4.409031555172772,Logistic Regression,beta,220
1,28,Intercept,2.6620270822629024,Logistic Regression,beta,220
0,29,biomarker,-4.181510001514734,Logistic Regression,beta,220
1,29,Intercept,2.5547393404711993,Logistic Regression,beta,220
0,30,biomarker,-3.1506467082774456,Logistic Regression,beta,220
1,30,Intercept,2.020273173699268,Logistic Regression,beta,220
0,31,biomarker,-3.8941477425906204,Logistic Regression,beta,220
1,31,Intercept,2.387119566398222,Logistic Regression,beta,220
0,32,biomarker,-4.920098141303176,Logistic Regression,beta,220
1,32,Intercept,3.0924847267358415,Logistic Regression,beta,220
0,33,biomarker,-4.159486536809119,Logistic Regression,beta,220
1,33,Intercept,2.600143454989697,Logistic Regression,beta,220
0,34,biomarker,-4.093803120523464,Logistic Regression,beta,220
1,34,Intercept,2.5008774276291508,Logistic Regression,beta,220
0,35,biomarker,-4.836173948494963,Logistic Regression,beta,220
1,35,Intercept,3.014480916198014,Logistic Regression,beta,220
0,36,biomarker,-3.2147226661047705,Logistic Regression,beta,220
1,36,Intercept,1.7868774135038215,Logistic Regression,beta,220
0,37,biomarker,-3.8071443768370123,Logistic Regression,beta,220
1,37,Intercept,2.4330022333330716,Logistic Regression,beta,220
0,38,biomarker,-3.0240403456983165,Logistic Regression,beta,220
1,38,Intercept,1.909450162100642,Logistic Regression,beta,220
0,39,biomarker,-4.602176316991594,Logistic Regression,beta,220
1,39,Intercept,3.05664880902866,Logistic Regression,beta,220
0,40,biomarker,-3.18080160201547,Logistic Regression,beta,220
1,40,Intercept,1.9644036882552636,Logistic Regression,beta,220
0,41,biomarker,-3.2764735776038445,Logistic Regression,beta,220
1,41,Intercept,1.7361225313928323,Logistic Regression,beta,220
0,42,biomarker,-3.7908111009702714,Logistic Regression,beta,220
1,42,Intercept,2.3057267831502015,Logistic Regression,beta,220
0,43,biomarker,-2.9002984967544645,Logistic Regression,beta,220
1,43,Intercept,1.607023683145647,Logistic Regression,beta,220
0,44,biomarker,-4.065946240427039,Logistic Regression,beta,220
1,44,Intercept,2.551659663456015,Logistic Regression,beta,220
0,45,biomarker,-3.160992823992525,Logistic Regression,beta,220
1,45,Intercept,1.777497921907523,Logistic Regression,beta,220
