,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,2.0778787941043295,Logistic Regression,beta,149
1,0,Intercept,-0.9686651128972469,Logistic Regression,beta,149
0,1,biomarker,3.437824307226816,Logistic Regression,beta,149
1,1,Intercept,-1.62512814424722,Logistic Regression,beta,149
0,2,biomarker,2.3654450760672185,Logistic Regression,beta,149
1,2,Intercept,-1.3194228839280788,Logistic Regression,beta,149
0,3,biomarker,3.0749730743424304,Logistic Regression,beta,149
1,3,Intercept,-1.4236821740102483,Logistic Regression,beta,149
0,4,biomarker,2.643853701516228,Logistic Regression,beta,149
1,4,Intercept,-1.475945214003427,Logistic Regression,beta,149
0,5,biomarker,3.0778176649680957,Logistic Regression,beta,149
1,5,Intercept,-1.719165070170483,Logistic Regression,beta,149
0,6,biomarker,2.4140795642018684,Logistic Regression,beta,149
1,6,Intercept,-1.366846633590952,Logistic Regression,beta,149
0,7,biomarker,2.550426429691621,Logistic Regression,beta,149
1,7,Intercept,-1.3686974085592578,Logistic Regression,beta,149
0,8,biomarker,3.108170927930683,Logistic Regression,beta,149
1,8,Intercept,-1.7718130612428673,Logistic Regression,beta,149
0,9,biomarker,2.825200931461194,Logistic Regression,beta,149
1,9,Intercept,-1.6031459226468874,Logistic Regression,beta,149
0,10,biomarker,3.2124984610580714,Logistic Regression,beta,149
1,10,Intercept,-1.808325375718475,Logistic Regression,beta,149
0,11,biomarker,2.154268501042867,Logistic Regression,beta,149
1,11,Intercept,-1.0817245254562673,Logistic Regression,beta,149
0,12,biomarker,2.7503589284264556,Logistic Regression,beta,149
1,12,Intercept,-1.5925133549176171,Logistic Regression,beta,149
0,13,biomarker,2.646505026926357,Logistic Regression,beta,149
1,13,Intercept,-1.4507283177439985,Logistic Regression,beta,149
0,14,biomarker,2.531230880462335,Logistic Regression,beta,149
1,14,Intercept,-1.3181349456704734,Logistic Regression,beta,149
0,15,biomarker,2.8102267435387294,Logistic Regression,beta,149
1,15,Intercept,-1.4912966307266036,Logistic Regression,beta,149
0,16,biomarker,2.6868383589481946,Logistic Regression,beta,149
1,16,Intercept,-1.3591773697977867,Logistic Regression,beta,149
0,17,biomarker,2.4137266618299766,Logistic Regression,beta,149
1,17,Intercept,-1.270229035786775,Logistic Regression,beta,149
0,18,biomarker,2.41338292864069,Logistic Regression,beta,149
1,18,Intercept,-1.3142629295991115,Logistic Regression,beta,149
0,19,biomarker,2.302236139115588,Logistic Regression,beta,149
1,19,Intercept,-1.2512048290405255,Logistic Regression,beta,149
0,20,biomarker,2.3251368968005,Logistic Regression,beta,149
1,20,Intercept,-1.1975278178918,Logistic Regression,beta,149
0,21,biomarker,2.378459193874932,Logistic Regression,beta,149
1,21,Intercept,-1.2825518783440246,Logistic Regression,beta,149
0,22,biomarker,2.3191633101064983,Logistic Regression,beta,149
1,22,Intercept,-1.1592083596770815,Logistic Regression,beta,149
0,23,biomarker,3.8998495077471276,Logistic Regression,beta,149
1,23,Intercept,-1.9255182290588537,Logistic Regression,beta,149
0,24,biomarker,3.0738896165019707,Logistic Regression,beta,149
1,24,Intercept,-1.511219724423262,Logistic Regression,beta,149
0,25,biomarker,2.92447659625247,Logistic Regression,beta,149
1,25,Intercept,-1.319390968572277,Logistic Regression,beta,149
0,26,biomarker,2.3792618316409655,Logistic Regression,beta,149
1,26,Intercept,-1.252640683239432,Logistic Regression,beta,149
0,27,biomarker,2.761280581423328,Logistic Regression,beta,149
1,27,Intercept,-1.3425191277961255,Logistic Regression,beta,149
0,28,biomarker,2.3845508141202303,Logistic Regression,beta,149
1,28,Intercept,-1.309811898568846,Logistic Regression,beta,149
0,29,biomarker,2.905579958228158,Logistic Regression,beta,149
1,29,Intercept,-1.6126221942206738,Logistic Regression,beta,149
0,30,biomarker,2.728091187881156,Logistic Regression,beta,149
1,30,Intercept,-1.4007632168115876,Logistic Regression,beta,149
0,31,biomarker,2.5380581613676965,Logistic Regression,beta,149
1,31,Intercept,-1.3662072966629348,Logistic Regression,beta,149
0,32,biomarker,2.6128146769480214,Logistic Regression,beta,149
1,32,Intercept,-1.3814592191244988,Logistic Regression,beta,149
0,33,biomarker,2.45011931094107,Logistic Regression,beta,149
1,33,Intercept,-1.0698172536067496,Logistic Regression,beta,149
0,34,biomarker,2.3443916771741713,Logistic Regression,beta,149
1,34,Intercept,-1.2062922346558218,Logistic Regression,beta,149
0,35,biomarker,2.885487716431666,Logistic Regression,beta,149
1,35,Intercept,-1.5406365001688334,Logistic Regression,beta,149
0,36,biomarker,3.3895785514991337,Logistic Regression,beta,149
1,36,Intercept,-1.7488410265306273,Logistic Regression,beta,149
0,37,biomarker,2.1896022740318375,Logistic Regression,beta,149
1,37,Intercept,-1.1237419389948629,Logistic Regression,beta,149
0,38,biomarker,2.6873712363749624,Logistic Regression,beta,149
1,38,Intercept,-1.3359857640432022,Logistic Regression,beta,149
0,39,biomarker,2.5641105110739355,Logistic Regression,beta,149
1,39,Intercept,-1.1994429774392126,Logistic Regression,beta,149
0,40,biomarker,2.4584879031082063,Logistic Regression,beta,149
1,40,Intercept,-1.3215914785930845,Logistic Regression,beta,149
0,41,biomarker,2.192279210618338,Logistic Regression,beta,149
1,41,Intercept,-1.1285865664788162,Logistic Regression,beta,149
0,42,biomarker,2.0715657884646403,Logistic Regression,beta,149
1,42,Intercept,-1.1344497719418607,Logistic Regression,beta,149
0,43,biomarker,2.2584343285798796,Logistic Regression,beta,149
1,43,Intercept,-1.2189399940243977,Logistic Regression,beta,149
0,44,biomarker,2.3452967827270195,Logistic Regression,beta,149
1,44,Intercept,-1.2879049587026004,Logistic Regression,beta,149
0,45,biomarker,2.4082735930571455,Logistic Regression,beta,149
1,45,Intercept,-1.2325533663829198,Logistic Regression,beta,149
