,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.8987493129803579,t,144
1,Logistic Regression,roc_auc,1,0.8997016748616062,t,144
2,Logistic Regression,roc_auc,2,0.8985177326745479,t,144
3,Logistic Regression,roc_auc,3,0.901392632125384,t,144
4,Logistic Regression,roc_auc,4,0.9003392807568283,t,144
5,Logistic Regression,roc_auc,5,0.9094221440102724,t,144
6,Logistic Regression,roc_auc,6,0.9114308140320435,t,144
7,Logistic Regression,roc_auc,7,0.9149549820234778,t,144
8,Logistic Regression,roc_auc,8,0.8969679054054054,t,144
9,Logistic Regression,roc_auc,9,0.9058680533310554,t,144
10,Logistic Regression,roc_auc,10,0.8934726312864686,t,144
11,Logistic Regression,roc_auc,11,0.9023349374843332,t,144
12,Logistic Regression,roc_auc,12,0.901157205405182,t,144
13,Logistic Regression,roc_auc,13,0.90642873809709,t,144
14,Logistic Regression,roc_auc,14,0.9145569915612995,t,144
15,Logistic Regression,roc_auc,15,0.9052109467882976,t,144
16,Logistic Regression,roc_auc,16,0.9116489327618613,t,144
17,Logistic Regression,roc_auc,17,0.8932503556187769,t,144
18,Logistic Regression,roc_auc,18,0.8912086695515968,t,144
19,Logistic Regression,roc_auc,19,0.9063551974338994,t,144
20,Logistic Regression,roc_auc,20,0.9069435282594452,t,144
21,Logistic Regression,roc_auc,21,0.9036695472806282,t,144
22,Logistic Regression,roc_auc,22,0.9052074096298518,t,144
23,Logistic Regression,roc_auc,23,0.9051105995395856,t,144
24,Logistic Regression,roc_auc,24,0.9165555484439893,t,144
25,Logistic Regression,roc_auc,25,0.8938941497343699,t,144
26,Logistic Regression,roc_auc,26,0.903551839968025,t,144
27,Logistic Regression,roc_auc,27,0.9046715064375946,t,144
28,Logistic Regression,roc_auc,28,0.9029982786597813,t,144
29,Logistic Regression,roc_auc,29,0.8989256805297713,t,144
30,Logistic Regression,roc_auc,30,0.9010662351175329,t,144
31,Logistic Regression,roc_auc,31,0.9005688649235818,t,144
32,Logistic Regression,roc_auc,32,0.899024427766704,t,144
33,Logistic Regression,roc_auc,33,0.9068020439135392,t,144
34,Logistic Regression,roc_auc,34,0.9079959056921906,t,144
35,Logistic Regression,roc_auc,35,0.9073376623376623,t,144
36,Logistic Regression,roc_auc,36,0.9031687515219614,t,144
37,Logistic Regression,roc_auc,37,0.9001848445265974,t,144
38,Logistic Regression,roc_auc,38,0.9012773998488284,t,144
39,Logistic Regression,roc_auc,39,0.9083369666811999,t,144
40,Logistic Regression,roc_auc,40,0.8932779645516913,t,144
41,Logistic Regression,roc_auc,41,0.902592683628237,t,144
42,Logistic Regression,roc_auc,42,0.8995204781525472,t,144
43,Logistic Regression,roc_auc,43,0.9095527912966759,t,144
44,Logistic Regression,roc_auc,44,0.9069909036286308,t,144
45,Logistic Regression,roc_auc,45,0.9115327003266763,t,144
46,Logistic Regression,roc_auc,46,0.8945895373127696,t,144
47,Logistic Regression,roc_auc,47,0.9110974412401733,t,144
48,Logistic Regression,roc_auc,48,0.915229174963022,t,144
49,Logistic Regression,roc_auc,49,0.9047532910014626,t,144
50,Logistic Regression,average_precision,0,0.8853967457950144,t,144
51,Logistic Regression,average_precision,1,0.8783409790990302,t,144
52,Logistic Regression,average_precision,2,0.8710378242102822,t,144
53,Logistic Regression,average_precision,3,0.8686649182998417,t,144
54,Logistic Regression,average_precision,4,0.8776108928171803,t,144
55,Logistic Regression,average_precision,5,0.8852683785001835,t,144
56,Logistic Regression,average_precision,6,0.8847154274555002,t,144
57,Logistic Regression,average_precision,7,0.8992882869380581,t,144
