,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,-19.83359154623901,Logistic Regression,t,166
1,0,Intercept,9.21229883299499,Logistic Regression,t,166
0,1,biomarker,-17.22417738405457,Logistic Regression,t,166
1,1,Intercept,8.070677097930526,Logistic Regression,t,166
0,2,biomarker,-19.119532833930947,Logistic Regression,t,166
1,2,Intercept,8.62416236091528,Logistic Regression,t,166
0,3,biomarker,-19.618633700132122,Logistic Regression,t,166
1,3,Intercept,9.070096117252081,Logistic Regression,t,166
0,4,biomarker,-18.202935455345482,Logistic Regression,t,166
1,4,Intercept,8.282990614163568,Logistic Regression,t,166
0,5,biomarker,-17.435242811715657,Logistic Regression,t,166
1,5,Intercept,7.854745389497559,Logistic Regression,t,166
0,6,biomarker,-13.992775012901575,Logistic Regression,t,166
1,6,Intercept,7.616350338935125,Logistic Regression,t,166
0,7,biomarker,-18.823045084565155,Logistic Regression,t,166
1,7,Intercept,8.61336325039985,Logistic Regression,t,166
0,8,biomarker,-17.172988935734104,Logistic Regression,t,166
1,8,Intercept,7.909630757826791,Logistic Regression,t,166
0,9,biomarker,-18.06140249633171,Logistic Regression,t,166
1,9,Intercept,8.236132015196317,Logistic Regression,t,166
0,10,biomarker,-18.979206297313613,Logistic Regression,t,166
1,10,Intercept,8.534850465822752,Logistic Regression,t,166
0,11,biomarker,-20.62746703869543,Logistic Regression,t,166
1,11,Intercept,9.40407660631825,Logistic Regression,t,166
0,12,biomarker,-20.324894856457227,Logistic Regression,t,166
1,12,Intercept,8.994837216572819,Logistic Regression,t,166
0,13,biomarker,-18.19489115986775,Logistic Regression,t,166
1,13,Intercept,8.395387560518948,Logistic Regression,t,166
0,14,biomarker,-17.373149567705234,Logistic Regression,t,166
1,14,Intercept,7.943821675430952,Logistic Regression,t,166
0,15,biomarker,-17.442971316923547,Logistic Regression,t,166
1,15,Intercept,9.796680283625053,Logistic Regression,t,166
0,16,biomarker,-17.71906326895236,Logistic Regression,t,166
1,16,Intercept,8.167420467483334,Logistic Regression,t,166
0,17,biomarker,-16.697774934840126,Logistic Regression,t,166
1,17,Intercept,7.173739694755606,Logistic Regression,t,166
0,18,biomarker,-16.75020121300117,Logistic Regression,t,166
1,18,Intercept,7.713282230460634,Logistic Regression,t,166
0,19,biomarker,-17.24941557488916,Logistic Regression,t,166
1,19,Intercept,9.18750790921001,Logistic Regression,t,166
0,20,biomarker,-16.487723133140623,Logistic Regression,t,166
1,20,Intercept,7.613975563887687,Logistic Regression,t,166
0,21,biomarker,-18.476358827904132,Logistic Regression,t,166
1,21,Intercept,8.483532015262933,Logistic Regression,t,166
0,22,biomarker,-17.474377677189516,Logistic Regression,t,166
1,22,Intercept,8.091779809677988,Logistic Regression,t,166
0,23,biomarker,-16.131312932119318,Logistic Regression,t,166
1,23,Intercept,7.466640090969646,Logistic Regression,t,166
0,24,biomarker,-19.10107992570187,Logistic Regression,t,166
1,24,Intercept,8.745861007833684,Logistic Regression,t,166
0,25,biomarker,-17.34078118748866,Logistic Regression,t,166
1,25,Intercept,8.065179829673118,Logistic Regression,t,166
0,26,biomarker,-15.686001058559658,Logistic Regression,t,166
1,26,Intercept,6.4181830755886145,Logistic Regression,t,166
0,27,biomarker,-17.987987222227854,Logistic Regression,t,166
1,27,Intercept,8.139808260731286,Logistic Regression,t,166
0,28,biomarker,-18.96997135326931,Logistic Regression,t,166
1,28,Intercept,8.637130943800756,Logistic Regression,t,166
0,29,biomarker,-19.58876510905083,Logistic Regression,t,166
1,29,Intercept,8.930399997173105,Logistic Regression,t,166
0,30,biomarker,-18.95624040507047,Logistic Regression,t,166
1,30,Intercept,8.736685656831119,Logistic Regression,t,166
0,31,biomarker,-17.90173533412759,Logistic Regression,t,166
1,31,Intercept,8.130017318705042,Logistic Regression,t,166
0,32,biomarker,-17.724279411288943,Logistic Regression,t,166
1,32,Intercept,7.910360711807196,Logistic Regression,t,166
0,33,biomarker,-17.823971541127335,Logistic Regression,t,166
1,33,Intercept,8.338713441031754,Logistic Regression,t,166
0,34,biomarker,-21.52598800744714,Logistic Regression,t,166
1,34,Intercept,9.181430089928662,Logistic Regression,t,166
0,35,biomarker,-16.819770871882383,Logistic Regression,t,166
1,35,Intercept,7.771805348342867,Logistic Regression,t,166
0,36,biomarker,-16.548514944448538,Logistic Regression,t,166
1,36,Intercept,7.680395738873409,Logistic Regression,t,166
0,37,biomarker,-15.951308212084657,Logistic Regression,t,166
1,37,Intercept,8.776525102411055,Logistic Regression,t,166
0,38,biomarker,-18.80247037355834,Logistic Regression,t,166
1,38,Intercept,8.428974203592533,Logistic Regression,t,166
0,39,biomarker,-16.705632040237457,Logistic Regression,t,166
1,39,Intercept,7.769552840620454,Logistic Regression,t,166
0,40,biomarker,-19.64076595716217,Logistic Regression,t,166
1,40,Intercept,8.412585159797132,Logistic Regression,t,166
0,41,biomarker,-16.93641625029249,Logistic Regression,t,166
1,41,Intercept,7.7461686642900744,Logistic Regression,t,166
0,42,biomarker,-17.004317919978426,Logistic Regression,t,166
1,42,Intercept,7.7292567296987835,Logistic Regression,t,166
0,43,biomarker,-19.64008387305583,Logistic Regression,t,166
1,43,Intercept,8.811146409992157,Logistic Regression,t,166
0,44,biomarker,-17.14562627522641,Logistic Regression,t,166
1,44,Intercept,7.768192164667909,Logistic Regression,t,166
0,45,biomarker,-19.880147869718108,Logistic Regression,t,166
1,45,Intercept,9.279688000500764,Logistic Regression,t,166
0,46,biomarker,-16.14508721549281,Logistic Regression,t,166
1,46,Intercept,7.368182983429504,Logistic Regression,t,166
0,47,biomarker,-19.713668247197393,Logistic Regression,t,166
1,47,Intercept,8.961662213550913,Logistic Regression,t,166
0,48,biomarker,-17.879355153544385,Logistic Regression,t,166
1,48,Intercept,8.243722377137095,Logistic Regression,t,166
0,49,biomarker,-18.40749094140291,Logistic Regression,t,166
1,49,Intercept,8.541802246706332,Logistic Regression,t,166
0,50,biomarker,-19.615467903900694,Logistic Regression,t,166
1,50,Intercept,8.759095077413011,Logistic Regression,t,166
0,51,biomarker,-17.84928016745295,Logistic Regression,t,166
1,51,Intercept,7.88036294216516,Logistic Regression,t,166
0,52,biomarker,-17.056656342141423,Logistic Regression,t,166
1,52,Intercept,6.89322073985356,Logistic Regression,t,166
0,53,biomarker,-17.594180744976768,Logistic Regression,t,166
1,53,Intercept,8.273201929450552,Logistic Regression,t,166
0,54,biomarker,-19.878777338160162,Logistic Regression,t,166
1,54,Intercept,9.033208409155515,Logistic Regression,t,166
0,55,biomarker,-19.493980690059406,Logistic Regression,t,166
1,55,Intercept,8.775263909571185,Logistic Regression,t,166
0,56,biomarker,-18.374404401958763,Logistic Regression,t,166
1,56,Intercept,7.891273552205251,Logistic Regression,t,166
0,57,biomarker,-18.261200986449936,Logistic Regression,t,166
1,57,Intercept,8.343816274231688,Logistic Regression,t,166
0,58,biomarker,-16.12763010010381,Logistic Regression,t,166
1,58,Intercept,7.08256086423006,Logistic Regression,t,166
0,59,biomarker,-23.55869746449979,Logistic Regression,t,166
1,59,Intercept,10.546002256563838,Logistic Regression,t,166
0,60,biomarker,-16.84458087389616,Logistic Regression,t,166
1,60,Intercept,7.2332505029728855,Logistic Regression,t,166
0,61,biomarker,-16.71089643747181,Logistic Regression,t,166
1,61,Intercept,7.832919975368226,Logistic Regression,t,166
0,62,biomarker,-18.22316335793449,Logistic Regression,t,166
1,62,Intercept,8.432270962159798,Logistic Regression,t,166
0,63,biomarker,-17.750979473000296,Logistic Regression,t,166
1,63,Intercept,8.432951499579435,Logistic Regression,t,166
0,64,biomarker,-16.676999054793257,Logistic Regression,t,166
1,64,Intercept,7.5952379202206775,Logistic Regression,t,166
0,65,biomarker,-14.210701644640428,Logistic Regression,t,166
1,65,Intercept,7.754253076634012,Logistic Regression,t,166
0,66,biomarker,-15.62917284610437,Logistic Regression,t,166
1,66,Intercept,6.369096758737636,Logistic Regression,t,166
0,67,biomarker,-17.71455924217845,Logistic Regression,t,166
1,67,Intercept,8.10686798907996,Logistic Regression,t,166
0,68,biomarker,-21.131025863639255,Logistic Regression,t,166
1,68,Intercept,9.670266618692088,Logistic Regression,t,166
0,69,biomarker,-17.14212508228459,Logistic Regression,t,166
1,69,Intercept,7.894318890558604,Logistic Regression,t,166
0,70,biomarker,-17.324283501505626,Logistic Regression,t,166
1,70,Intercept,8.105089218552612,Logistic Regression,t,166
0,71,biomarker,-17.34610985083585,Logistic Regression,t,166
1,71,Intercept,7.779486674423006,Logistic Regression,t,166
0,72,biomarker,-20.519057704733388,Logistic Regression,t,166
1,72,Intercept,9.516429211478409,Logistic Regression,t,166
0,73,biomarker,-16.7450178939923,Logistic Regression,t,166
1,73,Intercept,7.245604709445507,Logistic Regression,t,166
0,74,biomarker,-20.49616192901762,Logistic Regression,t,166
1,74,Intercept,9.195668798198193,Logistic Regression,t,166
0,75,biomarker,-18.396133920927998,Logistic Regression,t,166
1,75,Intercept,8.230713621216042,Logistic Regression,t,166
0,76,biomarker,-20.748425930410804,Logistic Regression,t,166
1,76,Intercept,9.190407732744916,Logistic Regression,t,166
0,77,biomarker,-19.3028144968299,Logistic Regression,t,166
1,77,Intercept,9.000977950570952,Logistic Regression,t,166
0,78,biomarker,-19.04159439780549,Logistic Regression,t,166
1,78,Intercept,8.508291154899396,Logistic Regression,t,166
0,79,biomarker,-16.810895812390555,Logistic Regression,t,166
1,79,Intercept,7.768429242843578,Logistic Regression,t,166
0,80,biomarker,-16.6854855783978,Logistic Regression,t,166
1,80,Intercept,7.651637425774986,Logistic Regression,t,166
0,81,biomarker,-19.255268694678016,Logistic Regression,t,166
1,81,Intercept,8.685133993862317,Logistic Regression,t,166
0,82,biomarker,-18.180949284156387,Logistic Regression,t,166
1,82,Intercept,8.194030664589693,Logistic Regression,t,166
0,83,biomarker,-14.352376377054542,Logistic Regression,t,166
1,83,Intercept,8.422098328042164,Logistic Regression,t,166
0,84,biomarker,-18.070858087148373,Logistic Regression,t,166
1,84,Intercept,8.145783552251638,Logistic Regression,t,166
0,85,biomarker,-17.384862521580473,Logistic Regression,t,166
1,85,Intercept,8.040074510719991,Logistic Regression,t,166
0,86,biomarker,-16.566107670405348,Logistic Regression,t,166
1,86,Intercept,7.587654519246785,Logistic Regression,t,166
0,87,biomarker,-20.05260431517993,Logistic Regression,t,166
1,87,Intercept,9.17785868271725,Logistic Regression,t,166
0,88,biomarker,-16.75983910046411,Logistic Regression,t,166
1,88,Intercept,7.767476645680741,Logistic Regression,t,166
0,89,biomarker,-19.0254262868295,Logistic Regression,t,166
1,89,Intercept,8.490002958799565,Logistic Regression,t,166
0,90,biomarker,-18.545175122401346,Logistic Regression,t,166
1,90,Intercept,8.526502385953027,Logistic Regression,t,166
0,91,biomarker,-19.134701613247167,Logistic Regression,t,166
1,91,Intercept,8.996646424006002,Logistic Regression,t,166
0,92,biomarker,-14.44448258687663,Logistic Regression,t,166
1,92,Intercept,7.918753164767373,Logistic Regression,t,166
0,93,biomarker,-16.246226444945275,Logistic Regression,t,166
1,93,Intercept,8.78149101064794,Logistic Regression,t,166
0,94,biomarker,-14.721244889238806,Logistic Regression,t,166
1,94,Intercept,5.9403899406655665,Logistic Regression,t,166
0,95,biomarker,-18.27316128732971,Logistic Regression,t,166
1,95,Intercept,8.194551745524794,Logistic Regression,t,166
0,96,biomarker,-19.550549188033294,Logistic Regression,t,166
1,96,Intercept,8.904416239022778,Logistic Regression,t,166
0,97,biomarker,-17.235216946340646,Logistic Regression,t,166
1,97,Intercept,7.983015375887674,Logistic Regression,t,166
0,98,biomarker,-19.7787105422153,Logistic Regression,t,166
1,98,Intercept,8.539851394767723,Logistic Regression,t,166
0,99,biomarker,-29.606085734512284,Logistic Regression,t,166
1,99,Intercept,12.904403074739964,Logistic Regression,t,166
0,100,biomarker,-17.902334217324732,Logistic Regression,t,166
1,100,Intercept,8.338219868822465,Logistic Regression,t,166
0,101,biomarker,-20.038539696545595,Logistic Regression,t,166
1,101,Intercept,9.061902334006101,Logistic Regression,t,166
0,102,biomarker,-16.168063759547767,Logistic Regression,t,166
1,102,Intercept,8.830656932918348,Logistic Regression,t,166
0,103,biomarker,-15.724363382076232,Logistic Regression,t,166
1,103,Intercept,8.827497553043973,Logistic Regression,t,166
0,104,biomarker,-17.739448820389736,Logistic Regression,t,166
1,104,Intercept,8.059414862870481,Logistic Regression,t,166
0,105,biomarker,-17.100215963804384,Logistic Regression,t,166
1,105,Intercept,7.899930370261399,Logistic Regression,t,166
0,106,biomarker,-17.956645275481154,Logistic Regression,t,166
1,106,Intercept,7.622721666990129,Logistic Regression,t,166
0,107,biomarker,-17.632052908293012,Logistic Regression,t,166
1,107,Intercept,8.09277002213553,Logistic Regression,t,166
0,108,biomarker,-18.13375316890449,Logistic Regression,t,166
1,108,Intercept,8.198941373882787,Logistic Regression,t,166
0,109,biomarker,-13.917882714657912,Logistic Regression,t,166
1,109,Intercept,8.227178222548682,Logistic Regression,t,166
0,110,biomarker,-20.75605139451206,Logistic Regression,t,166
1,110,Intercept,9.253569040748888,Logistic Regression,t,166
0,111,biomarker,-20.85559631336227,Logistic Regression,t,166
1,111,Intercept,9.474722275633443,Logistic Regression,t,166
0,112,biomarker,-18.375049780364364,Logistic Regression,t,166
1,112,Intercept,8.332993349119366,Logistic Regression,t,166
0,113,biomarker,-18.206273890476048,Logistic Regression,t,166
1,113,Intercept,8.41172835655134,Logistic Regression,t,166
0,114,biomarker,-19.363331642199924,Logistic Regression,t,166
1,114,Intercept,8.689964846026353,Logistic Regression,t,166
0,115,biomarker,-18.283809678943374,Logistic Regression,t,166
1,115,Intercept,8.472601626578875,Logistic Regression,t,166
0,116,biomarker,-22.191332127362344,Logistic Regression,t,166
