,bootstrap,model,test_average_precision,test_roc_auc,train_average_precision,train_roc_auc,validation_average_precision,validation_roc_auc,distribution,seed
0,0,Logistic Regression,1.0,1.0,0.9945622049309321,0.9937499999999999,1.0,1.0,t,20
1,1,Logistic Regression,1.0,1.0,0.9940440679362695,0.9930313588850174,1.0,1.0,t,20
2,2,Logistic Regression,1.0,1.0,0.9977664067576348,0.9979166666666666,1.0,1.0,t,20
3,3,Logistic Regression,1.0,1.0,0.993597711043154,0.9930555555555556,1.0,1.0,t,20
4,4,Logistic Regression,1.0,1.0,0.991698003101512,0.9923611111111111,1.0,1.0,t,20
5,5,Logistic Regression,1.0,1.0,0.9954258659367019,0.9958333333333333,0.9809090909090908,0.9600000000000001,t,20
6,6,Logistic Regression,1.0,1.0,0.994584115094951,0.9951388888888888,0.9909090909090909,0.9800000000000001,t,20
7,7,Logistic Regression,1.0,1.0,0.9940546586057417,0.9944559944559944,1.0,1.0,t,20
8,8,Logistic Regression,1.0,1.0,0.9928200021917253,0.9937499999999999,1.0,1.0,t,20
9,9,Logistic Regression,1.0,1.0,0.9901209051702474,0.9909722222222223,1.0,1.0,t,20
10,10,Logistic Regression,1.0,1.0,0.9978075515059865,0.9979209979209979,0.9888888888888889,0.9814814814814815,t,20
11,11,Logistic Regression,1.0,1.0,0.9904180215014241,0.9903047091412742,0.9999999999999998,1.0,t,20
12,12,Logistic Regression,1.0,1.0,0.9868964369660964,0.9888501742160279,1.0,1.0,t,20
13,13,Logistic Regression,1.0,1.0,0.9866912396823514,0.9881944444444445,1.0,1.0,t,20
14,14,Logistic Regression,1.0,1.0,0.9894550703487501,0.9889119889119888,0.9999999999999998,1.0,t,20
15,15,Logistic Regression,1.0,1.0,0.9957975783460548,0.9958448753462604,0.9821428571428572,0.9821428571428571,t,20
16,16,Logistic Regression,1.0,1.0,0.9896205733355549,0.9896121883656509,1.0,1.0,t,20
17,17,Logistic Regression,1.0,1.0,0.9897235520546331,0.9902979902979904,1.0,1.0,t,20
18,18,Logistic Regression,1.0,1.0,0.9901967246394492,0.9909722222222223,1.0,1.0,t,20
19,19,Logistic Regression,1.0,1.0,0.994584115094951,0.9951388888888888,0.9765432098765432,0.962962962962963,t,20
20,20,Logistic Regression,1.0,1.0,0.9918312652562028,0.9916897506925207,1.0,1.0,t,20
21,21,Logistic Regression,1.0,1.0,0.9978835384240785,0.9979209979209979,0.9765432098765432,0.962962962962963,t,20
22,22,Logistic Regression,1.0,1.0,0.9896882559109773,0.9896121883656509,0.9999999999999998,1.0,t,20
23,23,Logistic Regression,1.0,1.0,0.9919299649906241,0.9916839916839917,1.0,1.0,t,20
24,24,Logistic Regression,1.0,1.0,0.9921830220586023,0.9916839916839917,0.9999999999999998,1.0,t,20
25,25,Logistic Regression,1.0,1.0,0.9943119967574396,0.99375,1.0,1.0,t,20
26,26,Logistic Regression,1.0,1.0,0.9898953543690385,0.9902979902979904,1.0,1.0,t,20
27,27,Logistic Regression,1.0,1.0,0.9909011188536221,0.9902979902979903,1.0,1.0,t,20
28,28,Logistic Regression,1.0,1.0,0.9900377114596027,0.9909722222222223,1.0,1.0,t,20
29,29,Logistic Regression,1.0,1.0,0.9898953543690385,0.9902979902979904,1.0,1.0,t,20
30,30,Logistic Regression,1.0,1.0,0.9933578634773461,0.9930699930699931,0.9999999999999998,1.0,t,20
31,31,Logistic Regression,1.0,1.0,0.9978075515059865,0.9979209979209979,1.0,1.0,t,20
32,32,Logistic Regression,1.0,1.0,0.995668571984361,0.9958419958419958,0.9888888888888889,0.9814814814814815,t,20
33,33,Logistic Regression,1.0,1.0,0.9924601241167972,0.9908963585434174,1.0,1.0,t,20
34,34,Logistic Regression,1.0,1.0,0.9906448433538217,0.9909909909909911,1.0,1.0,t,20
35,35,Logistic Regression,1.0,1.0,0.9928200021917253,0.9937499999999999,1.0,1.0,t,20
36,36,Logistic Regression,1.0,1.0,0.9937752865038183,0.9937673130193907,0.9821428571428572,0.9821428571428571,t,20
37,37,Logistic Regression,1.0,1.0,0.9979214778383751,0.9979224376731303,0.947845804988662,0.9464285714285714,t,20
38,38,Logistic Regression,1.0,1.0,0.995892451155609,0.9958448753462604,0.9617346938775511,0.9642857142857143,t,20
39,39,Logistic Regression,1.0,1.0,0.9906342604606256,0.9895833333333333,1.0,1.0,t,20
40,40,Logistic Regression,1.0,1.0,0.991698003101512,0.9923611111111111,1.0,1.0,t,20
41,41,Logistic Regression,1.0,1.0,0.9919021239143191,0.9916897506925207,1.0,1.0,t,20
42,42,Logistic Regression,1.0,1.0,0.9905078988992299,0.9916666666666666,1.0,1.0,t,20
43,43,Logistic Regression,1.0,1.0,0.99293154901263,0.9930699930699931,1.0,1.0,t,20
44,44,Logistic Regression,1.0,1.0,0.989050759774444,0.9896049896049897,1.0,1.0,t,20
45,45,Logistic Regression,1.0,1.0,0.9888908077451081,0.9889196675900277,0.9999999999999998,1.0,t,20
46,46,Logistic Regression,1.0,1.0,0.9938570113608962,0.9937673130193906,1.0,1.0,t,20
47,47,Logistic Regression,1.0,1.0,0.9919299649906241,0.9916839916839917,0.9999999999999998,1.0,t,20
48,48,Logistic Regression,1.0,1.0,0.993134130356195,0.992361111111111,1.0,1.0,t,20
49,49,Logistic Regression,1.0,1.0,0.996972755963984,0.9972222222222222,0.9765432098765432,0.962962962962963,t,20
50,50,Logistic Regression,1.0,1.0,0.9926151882473526,0.993069993069993,1.0,1.0,t,20
51,51,Logistic Regression,1.0,1.0,0.9940904642099468,0.9937629937629937,0.976190476190476,0.9814814814814814,t,20
52,52,Logistic Regression,1.0,1.0,0.9933444889766532,0.9937629937629937,1.0,1.0,t,20
53,53,Logistic Regression,1.0,1.0,0.9932623727100472,0.992361111111111,1.0,1.0,t,20
54,54,Logistic Regression,1.0,1.0,0.9884326117362233,0.9895833333333334,1.0,1.0,t,20
55,55,Logistic Regression,1.0,1.0,0.9917673800529986,0.9916897506925207,1.0,1.0,t,20
56,56,Logistic Regression,1.0,1.0,0.992777143384431,0.9923769923769923,0.9999999999999998,1.0,t,20
57,57,Logistic Regression,1.0,1.0,0.9896205733355549,0.9896121883656509,1.0,1.0,t,20
58,58,Logistic Regression,1.0,1.0,0.9920729570634859,0.9923822714681441,0.9999999999999998,1.0,t,20
59,59,Logistic Regression,1.0,1.0,0.9896205733355549,0.9896121883656509,1.0,1.0,t,20
60,60,Logistic Regression,1.0,1.0,0.9913176356340108,0.9916839916839917,1.0,1.0,t,20
