,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.527018325859864,normal,90
1,Logistic Regression,roc_auc,1,0.5383055078795443,normal,90
2,Logistic Regression,roc_auc,2,0.5435566860251938,normal,90
3,Logistic Regression,roc_auc,3,0.5438016448116965,normal,90
4,Logistic Regression,roc_auc,4,0.5421022237882702,normal,90
5,Logistic Regression,roc_auc,5,0.5601000196073288,normal,90
6,Logistic Regression,roc_auc,6,0.5468928893977429,normal,90
7,Logistic Regression,roc_auc,7,0.5458146860342268,normal,90
8,Logistic Regression,roc_auc,8,0.5522666251778094,normal,90
9,Logistic Regression,roc_auc,9,0.5212671108548488,normal,90
10,Logistic Regression,roc_auc,10,0.5579438732981384,normal,90
11,Logistic Regression,roc_auc,11,0.5295564969893279,normal,90
12,Logistic Regression,roc_auc,12,0.5290430505661108,normal,90
13,Logistic Regression,roc_auc,13,0.5452727252525028,normal,90
14,Logistic Regression,roc_auc,14,0.546920854350084,normal,90
15,Logistic Regression,roc_auc,15,0.5537723752486139,normal,90
16,Logistic Regression,roc_auc,16,0.5648957680697158,normal,90
17,Logistic Regression,roc_auc,17,0.5445265825035562,normal,90
18,Logistic Regression,roc_auc,18,0.5439655444546161,normal,90
19,Logistic Regression,roc_auc,19,0.5474029388715257,normal,90
20,Logistic Regression,roc_auc,20,0.5593365392271248,normal,90
21,Logistic Regression,roc_auc,21,0.5431676257594578,normal,90
22,Logistic Regression,roc_auc,22,0.5547048038137148,normal,90
23,Logistic Regression,roc_auc,23,0.544109698728856,normal,90
24,Logistic Regression,roc_auc,24,0.5560320304943961,normal,90
25,Logistic Regression,roc_auc,25,0.5551765000817871,normal,90
26,Logistic Regression,roc_auc,26,0.5253452652296583,normal,90
27,Logistic Regression,roc_auc,27,0.5445417900277844,normal,90
28,Logistic Regression,roc_auc,28,0.5230958701612585,normal,90
29,Logistic Regression,roc_auc,29,0.5539266941225843,normal,90
30,Logistic Regression,roc_auc,30,0.5497668985754345,normal,90
31,Logistic Regression,roc_auc,31,0.5464845623331329,normal,90
32,Logistic Regression,roc_auc,32,0.5731857028713153,normal,90
33,Logistic Regression,roc_auc,33,0.5440758888301761,normal,90
34,Logistic Regression,roc_auc,34,0.540670509600814,normal,90
35,Logistic Regression,roc_auc,35,0.5551507738836505,normal,90
36,Logistic Regression,roc_auc,36,0.5438091172111745,normal,90
37,Logistic Regression,roc_auc,37,0.5348606821603031,normal,90
38,Logistic Regression,roc_auc,38,0.557178426926326,normal,90
39,Logistic Regression,roc_auc,39,0.5423906140069005,normal,90
40,Logistic Regression,roc_auc,40,0.5385562354215058,normal,90
41,Logistic Regression,roc_auc,41,0.549549277256825,normal,90
42,Logistic Regression,roc_auc,42,0.543626440655059,normal,90
43,Logistic Regression,roc_auc,43,0.5401226662112932,normal,90
44,Logistic Regression,roc_auc,44,0.5446948804058209,normal,90
45,Logistic Regression,roc_auc,45,0.5392471986941846,normal,90
46,Logistic Regression,roc_auc,46,0.5536881639183964,normal,90
47,Logistic Regression,roc_auc,47,0.5249668982198599,normal,90
48,Logistic Regression,roc_auc,48,0.5332291251848902,normal,90
49,Logistic Regression,roc_auc,49,0.5702135867615942,normal,90
50,Logistic Regression,average_precision,0,0.4817866678990558,normal,90
51,Logistic Regression,average_precision,1,0.4829715406407896,normal,90
52,Logistic Regression,average_precision,2,0.4792242649925855,normal,90
53,Logistic Regression,average_precision,3,0.4781316070552707,normal,90
54,Logistic Regression,average_precision,4,0.49327285716033653,normal,90
55,Logistic Regression,average_precision,5,0.4994858644042455,normal,90
56,Logistic Regression,average_precision,6,0.4827584717541761,normal,90
57,Logistic Regression,average_precision,7,0.4851773464244701,normal,90
58,Logistic Regression,average_precision,8,0.4775757627972941,normal,90
59,Logistic Regression,average_precision,9,0.4532366703760403,normal,90
60,Logistic Regression,average_precision,10,0.49446050642813144,normal,90
61,Logistic Regression,average_precision,11,0.47211827441077736,normal,90
62,Logistic Regression,average_precision,12,0.4627078208671933,normal,90
63,Logistic Regression,average_precision,13,0.4816063818315416,normal,90
64,Logistic Regression,average_precision,14,0.4814707816724876,normal,90
65,Logistic Regression,average_precision,15,0.48357626385471064,normal,90
66,Logistic Regression,average_precision,16,0.5086986172971675,normal,90
67,Logistic Regression,average_precision,17,0.48624982699858044,normal,90
68,Logistic Regression,average_precision,18,0.4879320991544792,normal,90
69,Logistic Regression,average_precision,19,0.4752974126703903,normal,90
70,Logistic Regression,average_precision,20,0.5023507181805702,normal,90
71,Logistic Regression,average_precision,21,0.4903842663996366,normal,90
72,Logistic Regression,average_precision,22,0.49111614812620585,normal,90
73,Logistic Regression,average_precision,23,0.4935866395113152,normal,90
74,Logistic Regression,average_precision,24,0.48252600420395864,normal,90
75,Logistic Regression,average_precision,25,0.4919932985350865,normal,90
76,Logistic Regression,average_precision,26,0.4870143337021676,normal,90
77,Logistic Regression,average_precision,27,0.48411433209850674,normal,90
78,Logistic Regression,average_precision,28,0.46842682568695126,normal,90
79,Logistic Regression,average_precision,29,0.4781080200294766,normal,90
