,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.49019258369005625,normal,300
1,Logistic Regression,roc_auc,1,0.4769725204492161,normal,300
2,Logistic Regression,roc_auc,2,0.47332447372551256,normal,300
3,Logistic Regression,roc_auc,3,0.4738587204007286,normal,300
4,Logistic Regression,roc_auc,4,0.4879732755263359,normal,300
5,Logistic Regression,roc_auc,5,0.46670394354064815,normal,300
6,Logistic Regression,roc_auc,6,0.48167530887907306,normal,300
7,Logistic Regression,roc_auc,7,0.4726322361680328,normal,300
8,Logistic Regression,roc_auc,8,0.472945963055431,normal,300
9,Logistic Regression,roc_auc,9,0.4800007469458584,normal,300
10,Logistic Regression,roc_auc,10,0.46223529731117646,normal,300
11,Logistic Regression,roc_auc,11,0.476050699161522,normal,300
12,Logistic Regression,roc_auc,12,0.4619541946582518,normal,300
13,Logistic Regression,roc_auc,13,0.4780455094978684,normal,300
14,Logistic Regression,roc_auc,14,0.47764316553926695,normal,300
15,Logistic Regression,roc_auc,15,0.4527222515927914,normal,300
16,Logistic Regression,roc_auc,16,0.4810948142740077,normal,300
17,Logistic Regression,roc_auc,17,0.47870652739353264,normal,300
18,Logistic Regression,roc_auc,18,0.48148708028200765,normal,300
19,Logistic Regression,roc_auc,19,0.46123487701877536,normal,300
20,Logistic Regression,roc_auc,20,0.4861647905051769,normal,300
21,Logistic Regression,roc_auc,21,0.47354986841935665,normal,300
22,Logistic Regression,roc_auc,22,0.47555720204433416,normal,300
23,Logistic Regression,roc_auc,23,0.4753298294062625,normal,300
24,Logistic Regression,roc_auc,24,0.48374631063516754,normal,300
25,Logistic Regression,roc_auc,25,0.47813807791948987,normal,300
26,Logistic Regression,roc_auc,26,0.4721854004156465,normal,300
27,Logistic Regression,roc_auc,27,0.4748515519808505,normal,300
28,Logistic Regression,roc_auc,28,0.4716795554954788,normal,300
29,Logistic Regression,roc_auc,29,0.4712080536912752,normal,300
30,Logistic Regression,roc_auc,30,0.4772904489066793,normal,300
31,Logistic Regression,roc_auc,31,0.4885433133171757,normal,300
32,Logistic Regression,roc_auc,32,0.46703560559083684,normal,300
33,Logistic Regression,roc_auc,33,0.4880849979929399,normal,300
34,Logistic Regression,roc_auc,34,0.48306998445758853,normal,300
35,Logistic Regression,roc_auc,35,0.4743446375394461,normal,300
36,Logistic Regression,roc_auc,36,0.4770195323850977,normal,300
37,Logistic Regression,roc_auc,37,0.46395698873101554,normal,300
38,Logistic Regression,roc_auc,38,0.47994849390909805,normal,300
39,Logistic Regression,roc_auc,39,0.49782401849628743,normal,300
40,Logistic Regression,roc_auc,40,0.489317402621433,normal,300
41,Logistic Regression,roc_auc,41,0.4696269520121212,normal,300
42,Logistic Regression,roc_auc,42,0.47730032738650163,normal,300
43,Logistic Regression,roc_auc,43,0.48103285516952027,normal,300
44,Logistic Regression,roc_auc,44,0.48956308218800415,normal,300
45,Logistic Regression,roc_auc,45,0.4715443071057337,normal,300
46,Logistic Regression,roc_auc,46,0.47055335054662883,normal,300
47,Logistic Regression,roc_auc,47,0.4690464686353047,normal,300
48,Logistic Regression,roc_auc,48,0.471345372114533,normal,300
49,Logistic Regression,roc_auc,49,0.4736568998513101,normal,300
50,Logistic Regression,average_precision,0,0.4958189539579744,normal,300
51,Logistic Regression,average_precision,1,0.48856041340304207,normal,300
52,Logistic Regression,average_precision,2,0.49110513551444956,normal,300
53,Logistic Regression,average_precision,3,0.4926542088815986,normal,300
54,Logistic Regression,average_precision,4,0.5046358815244757,normal,300
55,Logistic Regression,average_precision,5,0.48242984034262437,normal,300
56,Logistic Regression,average_precision,6,0.4962159836655165,normal,300
57,Logistic Regression,average_precision,7,0.49228589679466034,normal,300
58,Logistic Regression,average_precision,8,0.4924519962310686,normal,300
59,Logistic Regression,average_precision,9,0.491667782029116,normal,300
60,Logistic Regression,average_precision,10,0.48768118520012027,normal,300
61,Logistic Regression,average_precision,11,0.49820754833342096,normal,300
62,Logistic Regression,average_precision,12,0.49035206692594946,normal,300
63,Logistic Regression,average_precision,13,0.49646712451314445,normal,300
64,Logistic Regression,average_precision,14,0.46920982985993004,normal,300
65,Logistic Regression,average_precision,15,0.4748771662575746,normal,300
66,Logistic Regression,average_precision,16,0.4900391856976465,normal,300
67,Logistic Regression,average_precision,17,0.4980246294486399,normal,300
68,Logistic Regression,average_precision,18,0.4955168748228812,normal,300
69,Logistic Regression,average_precision,19,0.49049506828935086,normal,300
70,Logistic Regression,average_precision,20,0.4816085730114528,normal,300
71,Logistic Regression,average_precision,21,0.48413534434141847,normal,300
72,Logistic Regression,average_precision,22,0.5003258211351564,normal,300
73,Logistic Regression,average_precision,23,0.5031830511882114,normal,300
74,Logistic Regression,average_precision,24,0.5073919205605141,normal,300
75,Logistic Regression,average_precision,25,0.501789978183655,normal,300
76,Logistic Regression,average_precision,26,0.4607802959070008,normal,300
77,Logistic Regression,average_precision,27,0.49702252372355293,normal,300
78,Logistic Regression,average_precision,28,0.4812976648729935,normal,300
79,Logistic Regression,average_precision,29,0.4853145751000257,normal,300
80,Logistic Regression,average_precision,30,0.49781411030165323,normal,300
81,Logistic Regression,average_precision,31,0.502312233312956,normal,300
82,Logistic Regression,average_precision,32,0.49422271435093856,normal,300
83,Logistic Regression,average_precision,33,0.49835011962576886,normal,300
84,Logistic Regression,average_precision,34,0.4958881553282915,normal,300
85,Logistic Regression,average_precision,35,0.48357111623988114,normal,300
86,Logistic Regression,average_precision,36,0.5042786352382576,normal,300
87,Logistic Regression,average_precision,37,0.4742743558164217,normal,300
88,Logistic Regression,average_precision,38,0.48830664901818754,normal,300
89,Logistic Regression,average_precision,39,0.5057538053404406,normal,300
90,Logistic Regression,average_precision,40,0.5088549601234462,normal,300
91,Logistic Regression,average_precision,41,0.4964366178031856,normal,300
92,Logistic Regression,average_precision,42,0.5029848459684555,normal,300
93,Logistic Regression,average_precision,43,0.4791919555821243,normal,300
94,Logistic Regression,average_precision,44,0.5042127830734877,normal,300
