,bootstrap,feature,importance,model,distribution,seed
0,0,biomarker,0.3179790683983185,Logistic Regression,normal,238
1,0,Intercept,-0.0972410327132222,Logistic Regression,normal,238
0,1,biomarker,0.8084661738063411,Logistic Regression,normal,238
1,1,Intercept,-0.37452968278065296,Logistic Regression,normal,238
0,2,biomarker,-1.0241724628511757,Logistic Regression,normal,238
1,2,Intercept,0.39169100605889984,Logistic Regression,normal,238
0,3,biomarker,0.25576667528625996,Logistic Regression,normal,238
1,3,Intercept,-0.07157754566046166,Logistic Regression,normal,238
0,4,biomarker,-0.8104061761830351,Logistic Regression,normal,238
1,4,Intercept,0.34278834544379805,Logistic Regression,normal,238
0,5,biomarker,-0.8830991538038132,Logistic Regression,normal,238
1,5,Intercept,0.6159797781102254,Logistic Regression,normal,238
0,6,biomarker,-2.096767433137514,Logistic Regression,normal,238
1,6,Intercept,0.8986424121536936,Logistic Regression,normal,238
0,7,biomarker,-0.963322979936414,Logistic Regression,normal,238
1,7,Intercept,0.2508174958627838,Logistic Regression,normal,238
0,8,biomarker,-0.3611216257231648,Logistic Regression,normal,238
1,8,Intercept,-0.02947748667927478,Logistic Regression,normal,238
0,9,biomarker,-1.1814439241824657,Logistic Regression,normal,238
1,9,Intercept,0.487900890199661,Logistic Regression,normal,238
0,10,biomarker,0.06584151936479703,Logistic Regression,normal,238
1,10,Intercept,-0.09546451899217198,Logistic Regression,normal,238
0,11,biomarker,0.02350372281701756,Logistic Regression,normal,238
1,11,Intercept,0.0616450375098452,Logistic Regression,normal,238
0,12,biomarker,-0.12742279602171144,Logistic Regression,normal,238
1,12,Intercept,0.02772052667090353,Logistic Regression,normal,238
0,13,biomarker,0.4888913153455897,Logistic Regression,normal,238
1,13,Intercept,-0.30592248310212694,Logistic Regression,normal,238
0,14,biomarker,0.37036860349760303,Logistic Regression,normal,238
1,14,Intercept,-0.2596948918401477,Logistic Regression,normal,238
0,15,biomarker,2.675541146640893,Logistic Regression,normal,238
1,15,Intercept,-1.1091751530859262,Logistic Regression,normal,238
0,16,biomarker,-1.164360807714646,Logistic Regression,normal,238
1,16,Intercept,0.46981789571393656,Logistic Regression,normal,238
0,17,biomarker,0.7102584741034556,Logistic Regression,normal,238
1,17,Intercept,-0.32239957928237706,Logistic Regression,normal,238
0,18,biomarker,0.20478330139735815,Logistic Regression,normal,238
1,18,Intercept,-0.100489221885967,Logistic Regression,normal,238
0,19,biomarker,-0.6724436171272765,Logistic Regression,normal,238
1,19,Intercept,0.18727769209493952,Logistic Regression,normal,238
0,20,biomarker,-0.7141520449530901,Logistic Regression,normal,238
1,20,Intercept,0.25962135661499236,Logistic Regression,normal,238
0,21,biomarker,-0.5329572009096342,Logistic Regression,normal,238
1,21,Intercept,0.13949008267221397,Logistic Regression,normal,238
0,22,biomarker,1.034068426336858,Logistic Regression,normal,238
1,22,Intercept,-0.41451609650073157,Logistic Regression,normal,238
0,23,biomarker,0.3257415760449252,Logistic Regression,normal,238
1,23,Intercept,0.09238940383405206,Logistic Regression,normal,238
0,24,biomarker,0.6512102990791576,Logistic Regression,normal,238
1,24,Intercept,-0.32131473467013766,Logistic Regression,normal,238
0,25,biomarker,1.3243763142794482,Logistic Regression,normal,238
1,25,Intercept,-0.31515976337598506,Logistic Regression,normal,238
0,26,biomarker,0.6500313642986568,Logistic Regression,normal,238
1,26,Intercept,-0.3341587367785061,Logistic Regression,normal,238
0,27,biomarker,-0.6744360252203085,Logistic Regression,normal,238
1,27,Intercept,0.3349538673242627,Logistic Regression,normal,238
0,28,biomarker,-0.09258562733416541,Logistic Regression,normal,238
1,28,Intercept,0.012291797017818004,Logistic Regression,normal,238
0,29,biomarker,1.252252817149989,Logistic Regression,normal,238
1,29,Intercept,-0.41813189999192896,Logistic Regression,normal,238
0,30,biomarker,0.23469820994799157,Logistic Regression,normal,238
1,30,Intercept,-0.15930811791899968,Logistic Regression,normal,238
0,31,biomarker,-0.2860089349415731,Logistic Regression,normal,238
1,31,Intercept,-0.007275739322526682,Logistic Regression,normal,238
0,32,biomarker,-1.1624579154030623,Logistic Regression,normal,238
1,32,Intercept,0.3850628300069214,Logistic Regression,normal,238
0,33,biomarker,0.6305169362264482,Logistic Regression,normal,238
1,33,Intercept,-0.19783325118516462,Logistic Regression,normal,238
0,34,biomarker,-1.0508194970494815,Logistic Regression,normal,238
1,34,Intercept,0.4257843539246375,Logistic Regression,normal,238
0,35,biomarker,-2.154539541526343,Logistic Regression,normal,238
1,35,Intercept,0.724431783364313,Logistic Regression,normal,238
0,36,biomarker,0.8664483342671374,Logistic Regression,normal,238
1,36,Intercept,-0.35264267705891883,Logistic Regression,normal,238
0,37,biomarker,-0.5371109673696018,Logistic Regression,normal,238
1,37,Intercept,0.18262993240441155,Logistic Regression,normal,238
0,38,biomarker,0.8071632243707297,Logistic Regression,normal,238
1,38,Intercept,-0.18122050157252087,Logistic Regression,normal,238
0,39,biomarker,0.09783071402421538,Logistic Regression,normal,238
1,39,Intercept,0.08092939870862545,Logistic Regression,normal,238
0,40,biomarker,-0.07852137199610726,Logistic Regression,normal,238
1,40,Intercept,0.007280975505367923,Logistic Regression,normal,238
0,41,biomarker,0.14799295033231008,Logistic Regression,normal,238
1,41,Intercept,-0.18846090730831375,Logistic Regression,normal,238
0,42,biomarker,-1.7851185481334462,Logistic Regression,normal,238
1,42,Intercept,0.5202072844718361,Logistic Regression,normal,238
0,43,biomarker,-0.7758836013127091,Logistic Regression,normal,238
1,43,Intercept,0.22427160107154404,Logistic Regression,normal,238
0,44,biomarker,-1.2908476790127474,Logistic Regression,normal,238
